"Term","Cell_Type","Overlap.x","P.value.x","Adjusted.P.value.x","Old.P.value.x","Old.Adjusted.P.value.x","Odds.Ratio.x","Combined.Score.x","Genes.x","Sex.x","metadata.x","Specie.x","Overlap.y","P.value.y","Adjusted.P.value.y","Old.P.value.y","Old.Adjusted.P.value.y","Odds.Ratio.y","Combined.Score.y","Genes.y","Sex.y","metadata.y","Specie.y"
"Amphetamine addiction","Pvalb","7/68",0.0368489562903123,0.259747329504876,0,0,2.38227503758322,7.86371833700397,"ATF2;CALM3;CACNA1C;CALM1;PRKACB;CALM2;STX1A","females","Users","Human","11/68",0.0000482458916054599,0.000844935798873386,0,0,4.92889013479104,48.9892242455045,"PPP1CB;GRIA1;PPP3CA;GRIA2;GNAS;CALM1;PRKACB;GRIN2B;CALM2;GRIA4;GRIN1","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"Amphetamine addiction","Sncg","5/68",0.0186082123016454,0.106723570553555,0,0,3.46750658409851,13.8150742425314,"GRIA1;GRIN2A;CALM2;GRIA4;GRIN1","females","Users","Human","4/68",0.00628403412094004,0.103686562995511,0,0,5.81367924528302,29.47386040677,"GRIA2;CAMK2D;GNAS;CALM1","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"Amphetamine addiction","Sst","9/68",0.0000464846017581736,0.000734456707779143,0,0,6.05250778277413,60.382174761041,"GRIA2;CAMK2D;GRIN2A;GRIN3A;CAMK2A;CALM3;GRIN2B;CALM2;STX1A","females","Users","Human","9/68",0.0000311759571937941,0.000365451498216142,0,0,6.38611262985238,66.2614320679413,"PPP3CA;GRIA2;CAMK2D;GNAS;PRKCA;CALM1;CALM2;GRIA3;GRIN1","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"Apelin signaling pathway","Pvalb","12/138",0.026086362530432,0.204529299245325,0,0,1.98118237415713,7.22406970831952,"MEF2A;GABARAPL2;RYR2;MEF2C;PRKAA1;GNG3;CALM3;CALM1;PRKACB;CALM2;SLC8A1;GABARAP","females","Users","Human","11/138",0.0165758532853735,0.0949344324525936,0,0,2.20410581167367,9.03641122136715,"MEF2C;PRKAA2;PRKCE;GNB2;GNAQ;GNB1;ADCY1;CALM1;PRKACB;CALM2;GNAI1","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"Axon guidance","L6","10/180",0.0241036541634696,0.0920555590937375,0,0,2.14928698752228,8.00693617276373,"ENAH;CAMK2B;CDC42;PIK3CA;CAMK2A;MAPK1;SEMA3E;KRAS;SRGAP3;LRRC4C","females","Users","Human","4/180",0.0265288820775699,0.158691018164619,0,0,3.70003756574005,13.4293649697969,"EPHA5;CAMK2B;CAMK2D;CFL1","females","M_MUT_and_WT_F_P60_CORT","Mouse"
"Bacterial invasion of epithelial cells","Sst","6/74",0.0103795004168058,0.0683317110773046,0,0,3.47804557928648,15.8874427682668,"CDC42;PIK3CA;ARPC3;PIK3R1;SEPT2;SEPT3","females","Users","Human","7/74",0.00184068965066025,0.010788486563592,0,0,4.3533829780434,27.4159298015402,"DNM3;CLTC;CLTB;WASL;ACTB;DNM1;ACTG1","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"Bacterial invasion of epithelial cells","Vip","8/74",0.00781441938315792,0.115377603833685,0,0,3.02367424242424,14.6702161642697,"CDC42;CLTA;WASF1;ACTB;RHOA;SEPT2;DNM1;ACTG1","females","Users","Human","3/74",0.0225993392738351,0.382382036937931,0,0,5.21989436619718,19.7825363233061,"DNM3;ARPC1A;PTK2","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"Calcium signaling pathway","Sst","11/189",0.00804830992844028,0.0575612962696859,0,0,2.4469630687051,11.7999732601096,"GRIN2A;CAMK2D;PDE1C;ERBB4;GNAQ;CAMK2A;CALM3;ADCY2;SLC25A5;CALM2;SLC25A4","females","Users","Human","14/189",0.000173592059327399,0.00146511698072325,0,0,3.36539130434783,29.1402586327867,"RYR2;CAMK2D;ATP2A2;PRKCA;ATP2B2;ADCY1;ATP2B1;GRIN1;PPP3CA;GNAS;CALM1;PLCB1;CALM2;SLC25A4","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"cAMP signaling pathway","L6","14/211",0.00178691554170814,0.0245963668682179,0,0,2.61276010384779,16.5316237466177,"CAMK2B;RYR2;ADCYAP1R1;PDE3B;CAMK2A;NPY1R;ATP2B4;ATP1A3;ADCY1;EDNRA;GRIN2A;PIK3CA;GNAS;MAPK1","females","Users","Human","7/211",0.000366910917706921,0.0155325621829263,0,0,5.72021435692921,45.2491348580124,"CAMK2B;GRIA2;CAMK2D;PDE4B;ATP1A1;ATP2B1;GRIN2B","females","M_MUT_and_WT_F_P60_CORT","Mouse"
"cAMP signaling pathway","Sncg","11/211",0.00862963728311896,0.0600992596502927,0,0,2.418625,11.4946430268712,"GRIA1;GABBR2;GRIN2A;PDE4D;PDE4B;ATP2B2;ATP1A1;ATP1B1;CALM2;GRIN1;GRIA4","females","Users","Human","9/211",0.000496077351829051,0.0593884613515887,0,0,4.21480843736548,32.0695446296372,"GRIA2;ADCYAP1R1;CAMK2D;ROCK2;NPY;GNAS;ATP2A2;ATP2B1;CALM1","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"cAMP signaling pathway","Sst","14/211",0.00087981309257761,0.0099293191876616,0,0,2.82857292375321,19.901276397432,"GRIA2;CAMK2D;ROCK2;CAMK2A;ADCY2;PIK3R1;GRIN2B;GRIN2A;GRIN3A;PIK3CA;SST;MAPK1;CALM3;CALM2","females","Users","Human","20/211",0.000000160414212412152,0.00000483534268842345,0,0,4.45948751066725,69.7709410104211,"RYR2;GRIA2;ADCYAP1R1;GABBR1;CAMK2D;ATP2A2;ATP1A3;BRAF;ATP2B2;ADCY1;ATP2B1;ATP1B1;GRIN1;MAPK9;PDE10A;GNAS;PDE4A;CALM1;CALM2;GRIA3","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"Cardiac muscle contraction","Pvalb","24/78",0.0000000000000476410934638626,0.0000000000015245149908436,0,0,9.40452354467927,288.484518659701,"COX8A;RYR2;COX7B;UQCRB;COX4I1;ATP1A3;UQCR11;COX7A2;UQCR10;ATP1A1;CACNA1C;COX6A1;COX5B;COX6C;COX7C;COX5A;SLC8A1;UQCRH;COX6B1;SLC9A6;UQCRQ;UQCRFS1;CYC1;CACNG2","females","Users","Human","13/78",0.00000720594681012434,0.000226987324518917,0,0,5.1196261682243,60.6194657122344,"COX8A;COX7B;COX4I1;ATP2A2;CACNA2D2;ATP1A3;ATP1B1;COX5B;COX6C;COX7C;CACNB4;UQCRFS1;UQCRC2","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"Cardiac muscle contraction","Sst","16/78",0.0000000000735729383310609,0.00000000249096948349449,0,0,10.3861617578308,242.337651812891,"COX8A;COX4I1;CACNA2D1;CACNA2D3;UQCR11;COX7A2;UQCR10;COX6A1;COX5B;COX6C;COX5A;UQCRH;CACNG8;CACNB4;UQCRQ;UQCRFS1","females","Users","Human","10/78",0.0000151362746660697,0.000220745801270377,0,0,6.16696247464503,68.4435174623247,"COX8A;RYR2;COX7B;COX4I1;UQCRC1;ATP2A2;ATP1A3;ATP1B1;COX6C;COX7C","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"cGMP-PKG signaling pathway","Pvalb","19/172",0.000385413754559254,0.00752313286745495,0,0,2.59960090230783,20.435964711259,"MEF2A;ATF2;GUCY1A2;MEF2C;ATP1A3;CACNA1C;ATP1A1;SLC8A1;NPPC;KCNMB2;KCNMA1;VDAC3;VDAC2;VDAC1;CALM3;CALM1;SLC25A5;CALM2;SLC25A4","females","Users","Human","16/172",0.000915488518028978,0.0104865048428774,0,0,2.62349625352306,18.3541181414988,"MEF2C;PRKCE;ATP2A2;ATP1A3;ATP2B2;ADCY1;ATP2B1;ATP1B1;GNAI1;PPP1CB;PPP3CA;GNAQ;KCNMA1;CALM1;CALM2;SLC25A4","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"cGMP-PKG signaling pathway","Sncg","9/172",0.0163050076571532,0.0993586404107775,0,0,2.42170280098826,9.96841407105342,"GUCY1A2;MEF2C;VDAC3;ATP2B2;ATP1A1;ATP1B1;SLC25A5;CALM2;SLC25A4","females","Users","Human","7/172",0.00270536436711422,0.0826393201499897,0,0,3.98239814412063,23.5460033960847,"ROCK2;INSR;ATP2A2;ATP2B1;CALM1;ADRA1A;GTF2I","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"cGMP-PKG signaling pathway","Sst","11/172",0.00402480185490847,0.0317959346537769,0,0,2.70771815497404,14.9338226970392,"GUCY1A2;MEF2C;ROCK2;GNAQ;KCNMA1;MAPK1;CALM3;ADCY2;SLC25A5;CALM2;SLC25A4","females","Users","Human","12/172",0.000845523176053855,0.00575501258539882,0,0,3.14383116883117,22.2443502795645,"PPP3CA;ATP2A2;ATP1A3;ATP2B2;ADCY1;ATP2B1;ATP1B1;CALM1;PLCB1;CALM2;SLC25A4;GTF2I","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"Circadian entrainment","L6","14/99",0.000000409758735496446,0.0000958835441061684,0,0,6.09066008082622,89.5795848287958,"CAMK2B;RYR2;ADCYAP1R1;KCNJ6;CAMK2A;ADCY1;GRIN2A;PLCB4;GNB2;GNAQ;GNG7;GNB1;GNAS;MAPK1","females","Users","Human","4/99",0.00346475646386482,0.0535111514964959,0,0,6.88299260548064,38.9929304298686,"CAMK2B;GRIA2;CAMK2D;GRIN2B","females","M_MUT_and_WT_F_P60_CORT","Mouse"
"Circadian entrainment","Pvalb","9/99",0.0392258530001005,0.259747329504876,0,0,2.077352297593,6.72733763686286,"GUCY1A2;RYR2;GNG3;KCNJ6;CALM3;CACNA1C;CALM1;PRKACB;CALM2","females","Users","Human","14/99",0.0000227819560036343,0.000521913901174168,0,0,4.21739540736081,45.0820242354931,"GRIA1;GRIA2;ADCY1;GRIN2B;GNAI1;GRIN1;GNB2;GNAQ;GNB1;GNAS;CALM1;PRKACB;CALM2;GRIA4","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"Circadian entrainment","Sncg","8/99",0.00179605783831367,0.0206018399100685,0,0,3.8613846649964,24.4122959430316,"GRIA1;GUCY1A2;GRIN2A;GNG3;KCNJ6;CALM2;GRIA4;GRIN1","females","Users","Human","6/99",0.000719860137595015,0.0593884613515887,0,0,6.0494623655914,43.7766538234312,"GRIA2;ADCYAP1R1;CAMK2D;GNAS;CALM1;KCNJ3","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"Circadian entrainment","Sst","14/99",0.000000164971321862115,0.00000390982032813213,0,0,6.59366889023651,102.976585551402,"GUCY1A2;GRIA2;CAMK2D;CAMK2A;ADCY2;GRIN2B;GRIN2A;GNG3;GNG2;GNG4;GNAQ;MAPK1;CALM3;CALM2","females","Users","Human","13/99",0.000000611898006654357,0.0000143456088226744,0,0,6.37441356000605,91.1968239075482,"GRIA2;RYR2;ADCYAP1R1;CAMK2D;PRKCA;ADCY1;GRIN1;GNAO1;GNAS;CALM1;PLCB1;CALM2;GRIA3","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"Dilated cardiomyopathy (DCM)","Sncg","6/90",0.0161518662223743,0.0993586404107775,0,0,3.12439807383628,12.8903906227068,"CACNB2;CACNB4;CACNA2D1;ITGB8;ACTB;ACTG1","females","Users","Human","4/90",0.0164261258492143,0.145760856293608,0,0,4.32163229486617,17.7570778907788,"TPM3;GNAS;ATP2A2;IGF1","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"Dilated cardiomyopathy (DCM)","Sst","6/90",0.0251006184071125,0.108160846590648,0,0,2.81324253839467,10.3664127642075,"CACNG8;CACNB4;CACNA2D1;CACNA2D3;ADCY2;IGF1","females","Users","Human","6/90",0.0201047574289816,0.0719000647036462,0,0,2.96733821733822,11.592793398306,"RYR2;GNAS;ATP2A2;ADCY1;ACTB;ACTG1","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"Dopaminergic synapse","L6","13/135",0.0000733902307919959,0.00429332850133176,0,0,3.92537080405933,37.3684298779322,"CAMK2B;KCNJ6;CAMK2A;PPP2R5C;GRIN2A;PLCB4;GNB2;GNAQ;GNG7;KIF5A;GNB1;GNAS;SCN1A","females","Users","Human","4/135",0.0102628264070787,0.0814611846061873,0,0,4.98239858683995,22.8155341281582,"CAMK2B;GRIA2;CAMK2D;GRIN2B","females","M_MUT_and_WT_F_P60_CORT","Mouse"
"Dopaminergic synapse","Pvalb","15/135",0.00143806066994043,0.0216555018532207,0,0,2.60971916299559,17.0792022299945,"ATF2;GSK3B;KCNJ6;CACNA1C;MAPK10;PPP2CB;MAPK9;GNG3;CALY;PPP2R2B;CALM3;CALM1;PRKACB;CALM2;SCN1A","females","Users","Human","19/135",0.000000894090379395851,0.0000687823963237089,0,0,4.21541281848981,58.7099890768687,"GRIA1;GRIA2;GSK3B;CACNA1A;PPP2R2A;GRIN2B;GNAI1;PPP1CB;PPP3CA;GNB2;GNAQ;KIF5A;GNB1;GNAS;CALM1;PRKACB;CALM2;SCN1A;GRIA4","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"Dopaminergic synapse","Sncg","11/135",0.000247428916634956,0.00331249670242374,0,0,3.91633064516129,32.5227261696331,"GRIA1;GRIN2A;GNG3;KCNJ6;GNAL;CALY;PPP2R2B;KIF5A;CALM2;SCN1A;GRIA4","females","Users","Human","6/135",0.00350591055181774,0.0826393201499897,0,0,4.35326688815061,24.6103454899111,"GRIA2;CAMK2D;GNAS;CALM1;SCN1A;KCNJ3","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"Dopaminergic synapse","Sst","14/135",0.00000730149863580179,0.000157314106971366,0,0,4.62332793729232,54.6820918834563,"GRIA2;CAMK2D;CAMK2A;GRIN2B;GRIN2A;GNG3;GNG2;CALY;GNG4;PPP2R2B;GNAQ;CALM3;CLOCK;CALM2","females","Users","Human","16/135",0.000000133623844543683,0.00000469910519978618,0,0,5.69725881619023,90.1775634461643,"GRIA2;GSK3B;CAMK2D;PRKCA;GNAO1;PPP3CA;MAPK9;KIF5C;KIF5B;GNAS;CALM1;PLCB1;CLOCK;CALM2;GRIA3;SCN1A","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"Endocrine and other factor-regulated calcium reabsorption","Pvalb","7/55",0.0128377710469912,0.136936224501239,0,0,3.0295442139738,13.1947665646264,"AP2S1;CLTA;ATP1A3;ATP1A1;PRKACB;SLC8A1;AP2M1","females","Users","Human","9/55",0.000212913762089211,0.00282390884455164,0,0,4.98666204746232,42.1603493703659,"GNAQ;CLTC;GNAS;ATP1A3;ATP2B1;ATP1B1;PRKACB;DNM1;RAB11A","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"ErbB signaling pathway","Sst","6/84",0.0185332748401864,0.0878477227424838,0,0,3.03058199407084,12.0865292946778,"CAMK2D;PIK3CA;ERBB4;CAMK2A;MAPK1;PIK3R1","females","Users","Human","6/84",0.014755916631204,0.0566090619851646,0,0,3.1965811965812,13.4771416218685,"GSK3B;MAPK9;CAMK2D;ARAF;PRKCA;BRAF","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"Estrogen signaling pathway","Sst","8/134",0.0192882978653648,0.0896338547861071,0,0,2.50541492904018,9.89202126779191,"HSP90AA1;PIK3CA;GNAQ;MAPK1;CALM3;ADCY2;PIK3R1;CALM2","females","Users","Human","12/134",0.0000844011198876253,0.000807214306073706,0,0,4.13114754098361,38.7498742899212,"GNAO1;NCOA1;HSPA8;HSP90AA1;GABBR1;HSP90AB1;GNAS;ADCY1;CALM1;PLCB1;CALM2;HSP90B1","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"Fluid shear stress and atherosclerosis","Sst","8/143",0.0271874587546664,0.110846275191025,0,0,2.33730104850268,8.42596908129383,"MEF2C;HSP90AA1;PIK3CA;MGST3;GPC1;CALM3;PIK3R1;CALM2","females","Users","Human","9/143",0.00712774612411495,0.0326946615693099,0,0,2.80096292729899,13.847289058895,"MAPK9;HSP90AA1;HSP90AB1;CALM1;SQSTM1;CALM2;ACTB;ACTG1;HSP90B1","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"Fluid shear stress and atherosclerosis","Vip","12/143",0.00987966458744401,0.130515569023602,0,0,2.28923704088566,10.5700408872885,"MAPK10;MEF2C;HSP90AB1;SUMO1;GSTA4;MGST3;RAC3;CALM1;CALM2;ACTB;RHOA;ACTG1","females","Users","Human","4/143",0.02969675682716,0.382382036937931,0,0,3.56508755259943,12.5374055602114,"HSP90AA1;HSP90AB1;CALM1;PTK2","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"GABAergic synapse","Pvalb","12/90",0.000864199814863365,0.0138271970378138,0,0,3.20847758169383,22.6316593293361,"NSF;GABARAPL2;GABRA1;GNG3;KCNJ6;CACNA1C;GLUL;PRKACB;GABRD;GPHN;GABARAP;TRAK2","females","Users","Human","15/90",0.00000144440281321737,0.0000727979017861557,0,0,5.13065595716198,68.9961100876485,"NSF;GABRA1;GABRB1;SLC38A1;GAD1;CACNA1A;GAD2;ADCY1;SLC6A1;GNAI1;GLS;GNB2;GNB1;PRKACB;GABRD","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"GABAergic synapse","Sncg","10/90",0.0000351767161552607,0.000623587240934167,0,0,5.51842403628118,56.5921347355756,"GABRA2;GABRB2;GABARAPL2;GABBR2;GNG3;KCNJ6;GPHN;GABARAP;GLS;GABRG1","females","Users","Human","4/90",0.0164261258492143,0.145760856293608,0,0,4.32163229486617,17.7570778907788,"GABRB3;SLC32A1;GAD1;GAD2","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"GABAergic synapse","Sst","10/90",0.0000819178339992741,0.00121340791611425,0,0,4.96446830265849,46.7146232406272,"GABRB2;GABARAPL2;GNG3;GNG2;GNG4;GAD2;ADCY2;SLC38A2;GPHN;GABARAP","females","Users","Human","8/90",0.00133076867651247,0.00825859384541563,0,0,4.07076311106459,26.9565874246988,"NSF;GNAO1;SLC38A1;GABBR1;SLC32A1;PRKCA;ADCY1;SLC38A2","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"GABAergic synapse","Vip","12/90",0.000182231316820485,0.00457400605219418,0,0,3.85541683447443,33.1960399802092,"NSF;GABRB2;GABARAPL2;GABBR2;GABRA1;GNG3;KCNJ6;HAP1;PRKACB;GABRG3;GPHN;GABARAP","females","Users","Human","2/90",0.00802625385584383,0.256840123387003,0,0,16.137987012987,77.8663905506349,"GABRB3;HAP1","females","M_MUT_and_WT_F_P60_CORT","Mouse"
"Gastric acid secretion","L2_3_IT","15/74",0.0000606819593950252,0.000627824887586992,0,0,3.73468570665955,36.2632907178539,"PRKCG;CAMK2B;PRKCB;CAMK2A;ITPR1;ATP1A3;ATP1B3;PRKCA;ADCY1;ATP1A1;GNAI1;HRH2;GNAQ;CAMK2G;CALM2","females","Users","Human","2/74",0.0421460283962056,0.497705183838912,0,0,6.40826873385013,20.2925187716649,"CHRM3;ADCY1","females","M_MUT_and_WT_F_P150_CORT","Mouse"
"Gastric acid secretion","L6","7/74",0.00372516373355188,0.0335594886110731,0,0,3.81608904629395,21.3420293124711,"CAMK2B;PLCB4;GNAQ;CAMK2A;GNAS;ATP1A3;ADCY1","females","Users","Human","3/74",0.0111916121084404,0.0836079257512901,0,0,6.8589240360194,30.8143383372573,"CAMK2B;CAMK2D;ATP1A1","females","M_MUT_and_WT_F_P60_CORT","Mouse"
"Gastric acid secretion","Sst","7/74",0.00245746931298007,0.023832582257079,0,0,4.12686567164179,24.7967807894738,"CAMK2D;SST;GNAQ;CAMK2A;ADCY2;CALM3;CALM2","females","Users","Human","10/74",0.00000940305665789895,0.000165337079568057,0,0,6.55374461206897,75.8561580524601,"CAMK2D;GNAS;ATP1A3;PRKCA;ADCY1;ATP1B1;PLCB1;CALM1;CALM2;ACTB","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"Glioma","Sst","9/75",0.00010155270301495,0.00141576415379665,0,0,5.40862708719852,49.7319618104408,"CAMK2D;PIK3CA;CAMK2A;PTEN;MAPK1;CALM3;PIK3R1;IGF1;CALM2","females","Users","Human","6/75",0.00871936835788766,0.0383288900732145,0,0,3.61519881085098,17.1440264566439,"CAMK2D;ARAF;PRKCA;BRAF;CALM1;CALM2","females","M_MUT_and_WT_F_P30_CORT","Mouse"
"Glucagon signaling pathway","Pvalb","10/102",0.0193435514076648,0.179421662120246,0,0,2.26022667746083,8.91748968932396,"ATF2;LDHB;PRKAA1;PDHA1;PKM;PGAM1;CALM3;CALM1;PRKACB;CALM2","females","Users","Human","10/102",0.00551989679156276,0.0434691872335568,0,0,2.76740286771508,14.3888237219395,"LDHB;PPP3CA;PKM;PRKAA2;GNAQ;GNAS;PDHB;CALM1;PRKACB;CALM2","females","M_MUT_and_WT_F_P30_CORT","Mouse"
