"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Cell_Type","Sex","metadata"
"Antigen processing and presentation","3/90",0.00506949167460212,0.0571469970591512,0,0,9.24324324324324,48.8460550517902,"HSPA8;HSP90AA1;B2M","Endo","","Users"
"Focal adhesion","4/199",0.00731180804544115,0.0755553498028919,0,0,5.54351949420443,27.264496226397,"FN1;CTNNB1;ACTB;ACTG1","Endo","","Users"
"Rap1 signaling pathway","4/209",0.00865683762496161,0.0771108278541419,0,0,5.27043100567992,25.0314155522307,"CTNNB1;CALM1;ACTB;ACTG1","Endo","","Users"
"Kaposi sarcoma-associated herpesvirus infection","4/216",0.00968890872604664,0.0771108278541419,0,0,5.09459808736108,23.6224972925069,"EIF2AK2;CTNNB1;IL6ST;CALM1","Endo","","Users"
"Regulation of actin cytoskeleton","4/217",0.00984259011675908,0.0771108278541419,0,0,5.07042253521127,23.4306069936706,"CXCL12;FN1;ACTB;ACTG1","Endo","","Users"
"Thyroid hormone signaling pathway","3/115",0.00994978423924412,0.0771108278541419,0,0,7.17097007722008,33.0596378922269,"CTNNB1;ACTB;ACTG1","Endo","","Users"
"Estrogen signaling pathway","3/134",0.0150023664549885,0.109429025906975,0,0,6.12502578914793,25.7223356785238,"HSPA8;HSP90AA1;CALM1","Endo","","Users"
"Human cytomegalovirus infection","4/255",0.0169045656664147,0.11134212788195,0,0,4.29449325983736,17.522269159315,"CXCL12;CTNNB1;CALM1;B2M","Endo","","Users"
"Pathways in cancer","6/535",0.0170604873367504,0.11134212788195,0,0,3.09816555286349,12.6126015147064,"HSP90AA1;CXCL12;FN1;CTNNB1;IL6ST;CALM1","Endo","","Users"
"Measles","3/144",0.018146853312935,0.112510490540197,0,0,5.6877515813686,22.8036641239276,"HSPA8;EIF2AK2;CD46","Endo","","Users"
"Oxytocin signaling pathway","3/154",0.0216309388135633,0.127725543470564,0,0,5.30839448720243,20.3504237375661,"CALM1;ACTB;ACTG1","Endo","","Users"
"Hippo signaling pathway","3/159",0.0235008561724133,0.128771725058745,0,0,5.13695426195426,19.2672690019152,"CTNNB1;ACTB;ACTG1","Endo","","Users"
"Hepatitis C","3/160",0.0238850780350898,0.128771725058745,0,0,5.10397658805302,19.0608075351577,"CLDN5;EIF2AK2;CTNNB1","Endo","","Users"
"Protein processing in endoplasmic reticulum","3/163",0.025058215568228,0.129467447102512,0,0,5.00751689189189,18.4604791165274,"HSPA8;HSP90AA1;EIF2AK2","Endo","","Users"
"Cell adhesion molecules (CAMs)","3/170",0.027914839849901,0.135143515914664,0,0,4.79592167017317,17.1626701208142,"CLDN5;ICAM2;JAM2","Endo","","Users"
"Hepatocellular carcinoma","3/171",0.0283365436595262,0.135143515914664,0,0,4.7671332046332,16.9881702463891,"CTNNB1;ACTB;ACTG1","Endo","","Users"
"Necroptosis","3/176",0.0304959901012417,0.14005565824274,0,0,4.62818309639119,16.1530998679166,"HSP90AA1;EIF2AK2;PPIA","Endo","","Users"
"Gastric acid secretion","2/74",0.033059016575236,0.146404216261759,0,0,7.35222222222222,25.0671144425277,"CALM1;ACTB","Endo","","Users"
"Salivary secretion","2/78",0.0363967556239133,0.155627506805698,0,0,6.96385964912281,23.0731865324961,"CST3;CALM1","Endo","","Users"
"Hypertrophic cardiomyopathy (HCM)","2/86",0.0434404098426665,0.175439808660836,0,0,6.29809523809524,19.753126534025,"ACTB;ACTG1","Endo","","Users"
"Viral myocarditis","2/87",0.0443540283587273,0.175439808660836,0,0,6.2236862745098,19.3902166220774,"ACTB;ACTG1","Endo","","Users"
"Complement and coagulation cascades","2/88",0.0452747893318287,0.175439808660836,0,0,6.15100775193798,19.0373993062775,"CD46;A2M","Endo","","Users"
"Dilated cardiomyopathy (DCM)","2/90",0.047137471287742,0.177122619384243,0,0,6.01060606060606,18.3605203488149,"ACTB;ACTG1","Endo","","Users"
"Prostate cancer","2/97",0.0538721339827061,0.196474841583987,0,0,5.56575438596491,16.2583585061965,"HSP90AA1;CTNNB1","Endo","","Users"
"Melanogenesis","2/100",0.0568570608364097,0.200119411910201,0,0,5.39455782312925,15.4673563823572,"CTNNB1;CALM1","Endo","","Users"
"Th17 cell differentiation","2/102",0.0588786300102408,0.200119411910201,0,0,5.28613333333333,14.9717942412335,"HSP90AA1;IL6ST","Endo","","Users"
"Thermogenesis","3/231",0.0597130503280438,0.200119411910201,0,0,3.50195590327169,9.86922852980743,"RPS6;ACTB;ACTG1","Endo","","Users"
"Platelet activation","2/125",0.0837839149121514,0.270076854869632,0,0,4.29268292682927,10.6437684280243,"ACTB;ACTG1","Endo","","Users"
"Phenylalanine metabolism","1/23",0.0849435269348038,0.270076854869632,0,0,11.9025119617225,29.3488406407707,"MIF","Endo","","Users"
"Signaling pathways regulating pluripotency of stem cells","2/137",0.0978423939580528,0.276759159146172,0,0,3.90874074074074,9.08546650161485,"CTNNB1;IL6ST","Endo","","Users"
"Phototransduction","1/27",0.0989712850798696,0.276759159146172,0,0,10.0693319838057,23.2896149209231,"CALM1","Endo","","Users"
"Apelin signaling pathway","2/138",0.0990427305423949,0.276759159146172,0,0,3.87980392156863,8.97089775996281,"RPS6;CALM1","Endo","","Users"
"Insulin signaling pathway","2/139",0.100247263096829,0.276759159146172,0,0,3.8512895377129,8.85841081439863,"RPS6;CALM1","Endo","","Users"
"Vascular smooth muscle contraction","2/140",0.101455942601076,0.276759159146172,0,0,3.8231884057971,8.7479545252963,"RAMP2;CALM1","Endo","","Users"
"Protein export","1/28",0.102444929222424,0.276759159146172,0,0,9.69590643274854,22.0914431304425,"SRP14","Endo","","Users"
"Apoptosis","2/141",0.102668720328419,0.276759159146172,0,0,3.79549160671463,8.63947935016108,"ACTB;ACTG1","Endo","","Users"
"Thyroid cancer","1/37",0.133118822836962,0.351207107059219,0,0,7.26864035087719,14.6573088125108,"CTNNB1","Endo","","Users"
"Tyrosine metabolism","1/40",0.143111700166946,0.36216022083064,0,0,6.7085020242915,13.0421989241183,"MIF","Endo","","Users"
"Ferroptosis","1/40",0.143111700166946,0.36216022083064,0,0,6.7085020242915,13.0421989241183,"SAT1","Endo","","Users"
"Phagosome","2/180",0.152677034129714,0.364824370159983,0,0,2.95805243445693,5.55945389698074,"ACTB;ACTG1","Endo","","Users"
"Vasopressin-regulated water reabsorption","1/43",0.1529908649058,0.364824370159983,0,0,6.22838345864662,11.6930242627088,"DYNLL1","Endo","","Users"
"Intestinal immune network for IgA production","1/43",0.1529908649058,0.364824370159983,0,0,6.22838345864662,11.6930242627088,"CXCL12","Endo","","Users"
"PI3K-Akt signaling pathway","3/357",0.158702835592882,0.370806227712902,0,0,2.24106733852497,4.12518146938762,"HSP90AA1;RPS6;FN1","Endo","","Users"
"Human papillomavirus infection","3/360",0.16148013142336,0.370806227712902,0,0,2.22189416307063,4.05134220158956,"FN1;EIF2AK2;CTNNB1","Endo","","Users"
"ABC transporters","1/48",0.169206907010811,0.38148466307892,0,0,5.56438969764838,9.8858784232793,"ABCG2","Endo","","Users"
"Arginine and proline metabolism","1/50",0.17560718091187,0.388844472019141,0,0,5.33673469387755,9.28328044629381,"SAT1","Endo","","Users"
"Endometrial cancer","1/58",0.200725205681894,0.429136646630257,0,0,4.58587257617729,7.36407875648249,"CTNNB1","Endo","","Users"
"Legionellosis","1/58",0.200725205681894,0.429136646630257,0,0,4.58587257617729,7.36407875648249,"HSPA8","Endo","","Users"
"Basal cell carcinoma","1/63",0.216038793500909,0.448154900831008,0,0,4.21498302207131,6.45860705319188,"CTNNB1","Endo","","Users"
"Viral carcinogenesis","2/229",0.220463297989448,0.448154900831008,0,0,2.31377386196769,3.49848171856168,"EIF2AK2;IL6ST","Endo","","Users"
"Epstein-Barr virus infection","2/229",0.220463297989448,0.448154900831008,0,0,2.31377386196769,3.49848171856168,"EIF2AK2;B2M","Endo","","Users"
"Long-term potentiation","1/67",0.228080847253597,0.451881215766772,0,0,3.95873205741627,5.85122418484008,"CALM1","Endo","","Users"
"Amphetamine addiction","1/68",0.231062720959812,0.451881215766772,0,0,3.89945011783189,5.71295212171733,"CALM1","Endo","","Users"
"Human immunodeficiency virus 1 infection","2/238",0.233229014589302,0.451881215766772,0,0,2.2245197740113,3.23830998722394,"CALM1;B2M","Endo","","Users"
"B cell receptor signaling pathway","1/72",0.242876945099292,0.454137185521807,0,0,3.67902149740549,5.20655255741036,"IFITM1","Endo","","Users"
"Bile secretion","1/72",0.242876945099292,0.454137185521807,0,0,3.67902149740549,5.20655255741036,"ABCG2","Endo","","Users"
"Glioma","1/75",0.251619868089879,0.454137185521807,0,0,3.52933854907539,4.86990764610914,"CALM1","Endo","","Users"
"Pertussis","1/76",0.254511972742467,0.454137185521807,0,0,3.48210526315789,4.7649386094174,"CALM1","Endo","","Users"
"Renin secretion","1/76",0.254511972742467,0.454137185521807,0,0,3.48210526315789,4.7649386094174,"CALM1","Endo","","Users"
"ECM-receptor interaction","1/83",0.27445012652442,0.454137185521807,0,0,3.18372913992298,4.11651632374155,"FN1","Endo","","Users"
"Rheumatoid arthritis","1/84",0.277255130061594,0.454137185521807,0,0,3.14521242866202,4.03473244244874,"CXCL12","Endo","","Users"
"Gap junction","1/86",0.282833065567851,0.454137185521807,0,0,3.07089783281734,3.87823205083951,"TJP1","Endo","","Users"
"Colorectal cancer","1/88",0.288368506955447,0.454137185521807,0,0,3,3.73054823615286,"CTNNB1","Endo","","Users"
"GnRH signaling pathway","1/90",0.293861773681843,0.454137185521807,0,0,2.93228858663513,3.59101484262277,"CALM1","Endo","","Users"
"Progesterone-mediated oocyte maturation","1/90",0.293861773681843,0.454137185521807,0,0,2.93228858663513,3.59101484262277,"HSP90AA1","Endo","","Users"
"MicroRNAs in cancer","2/281",0.294574450091535,0.454137185521807,0,0,1.87756272401434,2.29480129559966,"TIMP3;SLC7A1","Endo","","Users"
"IL-17 signaling pathway","1/91",0.296592690769267,0.454137185521807,0,0,2.89956140350877,3.52411386143232,"HSP90AA1","Endo","","Users"
"Small cell lung cancer","1/92",0.299313182926136,0.454137185521807,0,0,2.86755349913245,3.45902890327104,"FN1","Endo","","Users"
"mRNA surveillance pathway","1/96",0.310091685697144,0.454137185521807,0,0,2.74626038781163,3.21556131423751,"SMG1","Endo","","Users"
"Cytokine-cytokine receptor interaction","2/292",0.310227027299066,0.454137185521807,0,0,1.80533333333333,2.11305403095889,"CXCL12;IL6ST","Endo","","Users"
"Glycerophospholipid metabolism","1/97",0.312760639460578,0.454137185521807,0,0,2.71751644736842,3.15861586662187,"GPCPD1","Endo","","Users"
"Phosphatidylinositol signaling system","1/98",0.315419401787586,0.454137185521807,0,0,2.68936516549105,3.10312962096285,"CALM1","Endo","","Users"
"Choline metabolism in cancer","1/99",0.318068011059111,0.454137185521807,0,0,2.66178839957035,3.04905212109484,"GPCPD1","Endo","","Users"
"Circadian entrainment","1/99",0.318068011059111,0.454137185521807,0,0,2.66178839957035,3.04905212109484,"CALM1","Endo","","Users"
"AGE-RAGE signaling pathway in diabetic complications","1/101",0.323334923356559,0.454137185521807,0,0,2.60828947368421,2.94493247196575,"FN1","Endo","","Users"
"Aldosterone synthesis and secretion","1/102",0.32595330251162,0.454137185521807,0,0,2.5823345492444,2.89480000379108,"CALM1","Endo","","Users"
"Glucagon signaling pathway","1/102",0.32595330251162,0.454137185521807,0,0,2.5823345492444,2.89480000379108,"CALM1","Endo","","Users"
"Longevity regulating pathway","1/102",0.32595330251162,0.454137185521807,0,0,2.5823345492444,2.89480000379108,"HSPA8","Endo","","Users"
"NF-kappa B signaling pathway","1/102",0.32595330251162,0.454137185521807,0,0,2.5823345492444,2.89480000379108,"CXCL12","Endo","","Users"
"HIF-1 signaling pathway","1/104",0.331160095942781,0.456265021076721,0,0,2.53193663771078,2.7981782495435,"RPS6","Endo","","Users"
"Amoebiasis","1/106",0.336327186890167,0.458291990927261,0,0,2.48345864661654,2.70615242565492,"FN1","Endo","","Users"
"Toxoplasmosis","1/108",0.341454874112793,0.460221786847678,0,0,2.43679291687162,2.61843084908637,"HSPA8","Endo","","Users"
"C-type lectin receptor signaling pathway","1/112",0.351593221412248,0.468790961882998,0,0,2.34850640113798,2.45484769304453,"CALM1","Endo","","Users"
"Oocyte meiosis","1/116",0.361577484019278,0.476974553387133,0,0,2.26636155606407,2.30552183619259,"CALM1","Endo","","Users"
"Natural killer cell mediated cytotoxicity","1/118",0.366512557241638,0.478395337873295,0,0,2.22739541160594,2.23568688132717,"ICAM2","Endo","","Users"
"Neurotrophin signaling pathway","1/121",0.373844648812172,0.482882671382389,0,0,2.17138157894737,2.13645478762373,"CALM1","Endo","","Users"
"Inflammatory mediator regulation of TRP channels","1/127",0.388258456056577,0.496330397433149,0,0,2.06735588972431,1.95589240661132,"CALM1","Endo","","Users"
"Spliceosome","1/132",0.400019406576623,0.506147004239809,0,0,1.98794696665327,1.82144093522849,"HSPA8","Endo","","Users"
"Dopaminergic synapse","1/135",0.406968557917974,0.509738395776049,0,0,1.94314611154753,1.74692595376309,"CALM1","Endo","","Users"
"Ubiquitin mediated proteolysis","1/138",0.413838255269536,0.513159436534225,0,0,1.90030733768728,1.67660328949085,"HERC2","Endo","","Users"
"Breast cancer","1/147",0.433979539969524,0.530251778312093,0,0,1.78235400144196,1.48783406355245,"CTNNB1","Endo","","Users"
"Adrenergic signaling in cardiomyocytes","1/148",0.436174849901883,0.530251778312093,0,0,1.77013963480129,1.46870624560952,"CALM1","Endo","","Users"
"Gastric cancer","1/150",0.440540288411345,0.530359182165114,0,0,1.74620275521017,1.43145560577126,"CTNNB1","Endo","","Users"
"mTOR signaling pathway","1/154",0.449171324853055,0.535550425786335,0,0,1.70020639834881,1.36076171122689,"RPS6","Endo","","Users"
"Cushing syndrome","1/159",0.459775497868366,0.540303123723547,0,0,1.64598600932712,1.278959039813,"CTNNB1","Endo","","Users"
"Wnt signaling pathway","1/160",0.461872025118516,0.540303123723547,0,0,1.63555114200596,1.263409984323,"CTNNB1","Endo","","Users"
"JAK-STAT signaling pathway","1/164",0.470178126824046,0.544879324543754,0,0,1.59509202453988,1.20372608795796,"IL6ST","Endo","","Users"
"RNA transport","1/167",0.476324538982917,0.546891137350757,0,0,1.56602726696259,1.16145328769845,"EIF1","Endo","","Users"
"cGMP-PKG signaling pathway","1/172",0.486412533020832,0.551038178711997,0,0,1.51985226223453,1.0953547619374,"CALM1","Endo","","Users"
"Alzheimer disease","1/175",0.492373005564302,0.551038178711997,0,0,1.49342105263158,1.05811675522275,"CALM1","Endo","","Users"
"Tuberculosis","1/178",0.498265191286024,0.551038178711997,0,0,1.4678858162355,1.02256277299271,"CALM1","Endo","","Users"
"Herpes simplex virus 1 infection","2/433",0.499145826700677,0.551038178711997,0,0,1.20600154679041,0.837998602382423,"EIF2AK2;B2M","Endo","","Users"
"Axon guidance","1/180",0.502155759632707,0.551038178711997,0,0,1.45133784181123,0.999746712980503,"CXCL12","Endo","","Users"
"Cellular senescence","1/185",0.511752386212042,0.55664294640608,0,0,1.41154176201373,0.945612140723679,"CALM1","Endo","","Users"
"Calcium signaling pathway","1/189",0.51929802683054,0.5599387419738,0,0,1.38122900335946,0.905088050415995,"CALM1","Endo","","Users"
"Chemokine signaling pathway","1/197",0.5340456714682,0.569830075639839,0,0,1.32431525241676,0.830708415176935,"CXCL12","Endo","","Users"
"Alcoholism","1/199",0.537662248789203,0.569830075639839,0,0,1.31080542264753,0.813387149928232,"CALM1","Endo","","Users"
"NOD-like receptor signaling pathway","1/205",0.548346563413089,0.576228592061212,0,0,1.2718653250774,0.764197453135781,"HSP90AA1","Endo","","Users"
"cAMP signaling pathway","1/211",0.55878710309636,0.582265552806291,0,0,1.23515037593985,0.718841130213018,"CALM1","Endo","","Users"
"Ras signaling pathway","1/233",0.595070875709596,0.614906571566582,0,0,1.11677631578947,0.579690399980503,"CALM1","Endo","","Users"
"Human T-cell leukemia virus 1 infection","1/245",0.613603794230304,0.628817111442626,0,0,1.06120578084556,0.51829910652838,"B2M","Endo","","Users"
"Endocytosis","1/269",0.648193897385207,0.658820026850538,0,0,0.964994108405342,0.41838805953104,"HSPA8","Endo","","Users"
"MAPK signaling pathway","1/294",0.68097550787607,0.686511894118965,0,0,0.881534039877852,0.338710888322541,"HSPA8","Endo","","Users"
"Olfactory transduction","1/1133",0.988880861442855,0.988880861442855,0,0,0.218418727915194,0.0024422311555048,"CALM1","Endo","","Users"
"Dopaminergic synapse","33/135",1.66023055168986e-11,4.46602018404572e-09,0,0,4.80978669423041,119.386022040159,"CAMK2B;ATF2;CAMK2A;CACNA1B;ITPR1;GNAI1;ARNTL;PPP1CB;PPP2CA;PPP2CB;MAPK9;GRIN2A;PPP3CB;PPP2R1A;KIF5C;PPP2R5E;KIF5B;KIF5A;AKT3;CAMK2G;KCNJ3;PRKCG;PRKCB;PRKCA;PPP2R5C;GNAO1;CALY;PPP2R2C;GNB2;GNAQ;GNB1;CLOCK;CALM2","L2_3_IT","","Users"
"Synaptic vesicle cycle","21/77",9.76100891438223e-09,1.31285569898441e-06,0,0,5.53570015822785,102.105270162161,"NSF;NAPA;ATP6V1A;SNAP25;UNC13A;CLTC;CACNA1B;AP2A2;CPLX1;STX1B;SLC6A7;ATP6V1B2;AP2S1;SLC17A7;ATP6V0D1;ATP6V0E2;ATP6V1D;AP2M1;VAMP2;ATP6V1C1;ATP6V0A1","L2_3_IT","","Users"
"Ribosome","32/170",3.45158035015535e-08,2.61611398310951e-06,0,0,3.43791711486635,59.0697711788716,"RPL4;RPL3;RPL32;RPL36A;RPL8;RPL9;MRPL32;RPS15;RPS14;RPL7A;RPL36;RPL35;RPLP2;RPL37;RPS27A;RPL39;RPS13;RPS12;RPS5;RPL22;RPS6;RPL23A;RPS26;RPS25;RPS29;RPL37A;RPL24;RPL26;RPL28;RPS21;RPS24;RPS23","L2_3_IT","","Users"
"GABAergic synapse","22/90",3.89013231689147e-08,2.61611398310951e-06,0,0,4.77660565413814,81.4995804599791,"NSF;PRKCG;GABRA2;GABBR2;GABRA1;GABRB1;SLC38A1;GABARAPL1;GABBR1;SLC12A5;PRKCB;CACNA1B;PRKCA;ADCY1;GPHN;GABRG2;GNAI1;GNAO1;GNB2;GNB1;SLC38A2;GABRD","L2_3_IT","","Users"
"Morphine addiction","22/92",5.95729219675304e-08,3.20502320185314e-06,0,0,4.63963352561927,77.1852434956957,"PRKCG;GABRA2;GABBR2;GABRA1;GABRB1;GABBR1;PRKCB;PDE4D;PDE1A;CACNA1B;PRKCA;ADCY1;GABRG2;GNAI1;GNAO1;GRK3;GNB2;GNB1;PDE4B;PDE7B;GABRD;KCNJ3","L2_3_IT","","Users"
"Long-term potentiation","18/67",1.41601652174027e-07,5.24113437726972e-06,0,0,5.4119163055909,85.3472622287073,"PRKCG;CAMK2B;MAP2K1;PRKCB;CAMK2A;ITPR1;PRKCA;ADCY1;GRIN1;PPP1CB;PPP3CB;PPP3R1;GRIN2A;GNAQ;MAPK1;KRAS;CAMK2G;CALM2","L2_3_IT","","Users"
"Oxytocin signaling pathway","29/154",1.48207457664397e-07,5.24113437726972e-06,0,0,3.43382165605096,53.995653331325,"CAMK2B;GUCY1B1;ROCK2;CAMK2A;ITPR1;ADCY1;GNAI1;CAMKK2;PPP1CB;PPP3R1;PPP3CB;CACNG8;MAPK1;CACNG3;CAMK2G;KCNJ3;PRKCG;GUCY1A2;MAP2K1;JUN;CAMK1D;PRKCB;CACNA2D1;PRKCA;GNAO1;GNAQ;KRAS;PPP1R12B;CALM2","L2_3_IT","","Users"
"Cholinergic synapse","24/113",1.70121860068312e-07,5.24113437726972e-06,0,0,3.98314161223926,62.0842358415732,"PRKCG;CAMK2B;MAP2K1;PRKCB;CAMK2A;CACNA1B;ITPR1;PRKCA;PIK3CB;ADCY1;GNAI1;GNAO1;PIK3CA;GNB2;GNAQ;AKT3;KCNQ2;GNB1;KCNQ3;MAPK1;KCNQ5;KRAS;CAMK2G;KCNJ3","L2_3_IT","","Users"
"Long-term depression","17/61",1.75353938272965e-07,5.24113437726972e-06,0,0,5.68911313449957,88.5024575051898,"PRKCG;GUCY1A2;GRID2;MAP2K1;GUCY1B1;PRKCB;ITPR1;PRKCA;GNAI1;IGF1R;PPP2CA;GNAO1;PPP2CB;PPP2R1A;GNAQ;MAPK1;KRAS","L2_3_IT","","Users"
"Adrenergic signaling in cardiomyocytes","28/148",2.18593634015647e-07,5.84735032582573e-06,0,0,3.45173693980377,52.9360150702577,"CAMK2B;ATF2;CAMK2A;ATP2A2;ATP1A3;ADCY1;ATP1A1;GNAI1;PPP1CB;PPP2CA;PPP2CB;CACNG8;RPS6KA5;PPP2R1A;PPP2R5E;AKT3;MAPK1;CACNG3;CAMK2G;CACNA2D1;ATP2B4;ATP1B3;PRKCA;ATP2B2;PPP2R5C;PPP2R2C;GNAQ;CALM2","L2_3_IT","","Users"
"Circadian entrainment","22/99",2.3911097986648e-07,5.84735032582573e-06,0,0,4.21626512837914,64.282603421487,"PRKCG;CAMK2B;GUCY1A2;GUCY1B1;PRKCB;CAMK2A;ITPR1;PRKCA;ADCY1;GNAI1;GRIN1;GNAO1;GRIN2A;RPS6KA5;GNB2;GNAQ;GNB1;NOS1AP;MAPK1;CALM2;CAMK2G;KCNJ3","L2_3_IT","","Users"
"Retrograde endocannabinoid signaling","28/150",2.92201690974529e-07,6.55018790601235e-06,0,0,3.39478592015859,51.077343157201,"GABRB1;NDUFB5;NDUFB4;CACNA1B;ITPR1;ADCY1;GNAI1;MAPK9;CNR1;MAPK1;SLC17A7;GABRD;KCNJ3;PRKCG;GABRA2;GABRA1;PRKCB;NDUFA3;NDUFC2;PRKCA;NDUFC1;GABRG2;GNAO1;GNB2;GNAQ;NDUFS5;GNB1;NDUFS1","L2_3_IT","","Users"
"Glutamatergic synapse","23/114",8.01616923650954e-07,1.65873040355467e-05,0,0,3.72992459204821,52.3555900555887,"PRKCG;SLC38A1;PRKCB;ITPR1;PRKCA;GRIK2;ADCY1;GNAI1;GRIN1;GNAO1;PPP3R1;GRIN2A;GRK3;PPP3CB;DLG4;GNB2;GNAQ;GNB1;MAPK1;DLGAP1;SLC17A7;SLC38A2;KCNJ3","L2_3_IT","","Users"
"Gap junction","19/86",1.71558048155108e-06,3.29636535383743e-05,0,0,4.17712385937611,55.4544899267354,"PRKCG;MAP3K2;GUCY1A2;MAP2K1;GUCY1B1;PRKCB;ITPR1;CSNK1D;PRKCA;ADCY1;TUBB4B;TUBB4A;TUBA4A;GNAI1;TUBA1B;TUBB2A;GNAQ;MAPK1;KRAS","L2_3_IT","","Users"
"Sphingolipid signaling pathway","23/124",3.66800708888315e-06,6.57795937939711e-05,0,0,3.35882066812069,42.038536203231,"PRKCG;MAP2K1;CERS6;PRKCB;PDPK1;ROCK2;PRKCE;PTEN;PRKCA;PIK3CB;PPP2R5C;GNAI1;PPP2CA;PPP2CB;MAPK9;PIK3CA;PPP2R2C;PPP2R1A;PPP2R5E;GNAQ;AKT3;MAPK1;KRAS","L2_3_IT","","Users"
"Axon guidance","29/180",4.16597933047876e-06,7.00405274936741e-05,0,0,2.83859197705319,35.1660646859929,"EPHB6;ROBO2;CAMK2B;BMPR2;ROCK2;CAMK2A;PIK3CB;GNAI1;PPP3R1;PPP3CB;ABLIM1;ABLIM2;SLIT1;MAPK1;SRGAP3;SLIT2;PAK3;CAMK2G;PLXNA4;EPHA4;FZD3;EPHA6;UNC5A;SEMA6D;PRKCA;L1CAM;SSH2;PIK3CA;KRAS","L2_3_IT","","Users"
"Endocytosis","37/269",9.87294169049879e-06,0.000156224783220246,0,0,2.36195499005305,27.2232146382205,"ARF3;ARF1;RAB5B;ZFYVE9;WIPF2;CLTC;AGAP2;AGAP3;WASL;AP2A2;RAB22A;IGF1R;SNX3;GRK3;CAPZB;KIF5C;KIF5B;KIF5A;PSD3;AP2S1;PIP5K1C;RAB11FIP4;AP2M1;PSD;ARFGEF2;IQSEC2;IQSEC1;RAB11A;EPN1;RAB10;RABEP1;BIN1;DNAJC6;AMPH;VPS45;VPS28;ARF5","L2_3_IT","","Users"
"Vasopressin-regulated water reabsorption","12/43",1.11706444454071e-05,0.000166939075323029,0,0,5.68147378557129,64.7814211418889,"DYNC2LI1;NSF;DCTN5;DYNC1H1;RAB5B;DYNC1LI2;DCTN1;ARHGDIA;ARHGDIG;DYNLL2;RAB11A;VAMP2","L2_3_IT","","Users"
"Oocyte meiosis","21/116",1.41437552932638e-05,0.000200245798625682,0,0,3.25632911392405,36.3609437865926,"CAMK2B;MAP2K1;YWHAB;CAMK2A;ITPR1;PPP2R5C;ADCY1;YWHAZ;IGF1R;PPP1CB;PPP2CA;PPP2CB;PPP3R1;PPP3CB;YWHAQ;PPP2R1A;PPP2R5E;MAPK1;CPEB3;CALM2;CAMK2G","L2_3_IT","","Users"
"Aldosterone-regulated sodium reabsorption","11/38",1.76840299952659e-05,0.000227992290016671,0,0,5.97616140473283,65.3962293764167,"PRKCG;PIK3CA;PDPK1;PRKCB;ATP1A3;MAPK1;ATP1B3;PRKCA;KRAS;PIK3CB;ATP1A1","L2_3_IT","","Users"
"Glioma","16/75",1.77986546109669e-05,0.000227992290016671,0,0,3.9868039694942,43.6012338431622,"PRKCG;CAMK2B;MAP2K1;CAMK1D;PRKCB;CAMK2A;PTEN;PRKCA;PIK3CB;IGF1R;PIK3CA;AKT3;MAPK1;KRAS;CAMK2G;CALM2","L2_3_IT","","Users"
