,Unnamed: 0,Metadata,Sex,Cell Type,Time Point,Tissue,Ontology,GO.ID,Term,Annotated,Significant,Expected,Fisher
2,3,Sst_M_E18_WB_CC,M,Sst,E18,WB,CC,GO:0043005,neuron projection,1350,33,14.09,2.5e-05
3,4,Sst_M_E18_WB_CC,M,Sst,E18,WB,CC,GO:0043209,myelin sheath,200,10,2.09,4.7e-05
4,5,Sst_M_E18_WB_CC,M,Sst,E18,WB,CC,GO:0045202,synapse,1201,36,12.53,7e-05
0,1,Sst_M_E18_WB_MF,M,Sst,E18,WB,MF,GO:0003735,structural constituent of ribosome,157,13,1.63,9e-09
1,2,Sst_M_E18_WB_MF,M,Sst,E18,WB,MF,GO:1990948,ubiquitin ligase inhibitor activity,8,3,0.08,5.9e-05
2,3,Sst_M_E18_WB_MF,M,Sst,E18,WB,MF,GO:0016868,"intramolecular transferase activity, phosphotransferases",9,3,0.09,8.8e-05
3,4,Sst_M_E18_WB_MF,M,Sst,E18,WB,MF,GO:0010858,calcium-dependent protein kinase regulator activity,4,2,0.04,0.00063
4,5,Sst_M_E18_WB_MF,M,Sst,E18,WB,MF,GO:0005200,structural constituent of cytoskeleton,53,4,0.55,0.0022
0,1,L5_M_E18_WB_BP,M,L5,E18,WB,BP,GO:0002181,cytoplasmic translation,91,23,3.57,5.1e-13
1,2,L5_M_E18_WB_BP,M,L5,E18,WB,BP,GO:0072086,specification of loop of Henle identity,4,4,0.16,2.3e-06
2,3,L5_M_E18_WB_BP,M,L5,E18,WB,BP,GO:0048485,sympathetic nervous system development,21,7,0.82,9.9e-06
3,4,L5_M_E18_WB_BP,M,L5,E18,WB,BP,GO:0048488,synaptic vesicle endocytosis,65,14,2.55,1.8e-05
4,5,L5_M_E18_WB_BP,M,L5,E18,WB,BP,GO:0061621,canonical glycolysis,10,5,0.39,2e-05
0,1,L5_M_E18_WB_CC,M,L5,E18,WB,CC,GO:0022625,cytosolic large ribosomal subunit,53,30,2.08,8.8e-29
1,2,L5_M_E18_WB_CC,M,L5,E18,WB,CC,GO:0022627,cytosolic small ribosomal subunit,45,24,1.77,2e-22
2,3,L5_M_E18_WB_CC,M,L5,E18,WB,CC,GO:0042788,polysomal ribosome,35,20,1.37,1.1e-19
3,4,L5_M_E18_WB_CC,M,L5,E18,WB,CC,GO:0043209,myelin sheath,199,40,7.82,7.9e-18
4,5,L5_M_E18_WB_CC,M,L5,E18,WB,CC,GO:0098978,glutamatergic synapse,311,43,12.22,5.4e-13
0,1,L5_M_E18_WB_MF,M,L5,E18,WB,MF,GO:0003735,structural constituent of ribosome,157,52,6.13,< 1e-30
1,2,L5_M_E18_WB_MF,M,L5,E18,WB,MF,GO:0019843,rRNA binding,71,19,2.77,6.2e-07
2,3,L5_M_E18_WB_MF,M,L5,E18,WB,MF,GO:0008201,heparin binding,118,17,4.61,3.2e-06
3,4,L5_M_E18_WB_MF,M,L5,E18,WB,MF,GO:1990948,ubiquitin ligase inhibitor activity,9,5,0.35,9.9e-06
4,5,L5_M_E18_WB_MF,M,L5,E18,WB,MF,GO:0005515,protein binding,7720,388,301.56,2.1e-05
0,1,L4_M_E18_WB_BP,M,L4,E18,WB,BP,GO:1905606,regulation of presynapse assembly,36,8,0.95,3.5e-06
1,2,L4_M_E18_WB_BP,M,L4,E18,WB,BP,GO:0099560,synaptic membrane adhesion,34,7,0.9,2.5e-05
2,3,L4_M_E18_WB_BP,M,L4,E18,WB,BP,GO:0050804,modulation of chemical synaptic transmission,476,26,12.57,0.00039
3,4,L4_M_E18_WB_BP,M,L4,E18,WB,BP,GO:1903744,positive regulation of anterograde synaptic vesicle transport,2,2,0.05,0.0007
4,5,L4_M_E18_WB_BP,M,L4,E18,WB,BP,GO:1904527,negative regulation of microtubule binding,2,2,0.05,0.0007
0,1,L4_M_E18_WB_CC,M,L4,E18,WB,CC,GO:0022627,cytosolic small ribosomal subunit,45,16,1.19,1.3e-14
1,2,L4_M_E18_WB_CC,M,L4,E18,WB,CC,GO:0022625,cytosolic large ribosomal subunit,53,12,1.4,9.9e-09
2,3,L4_M_E18_WB_CC,M,L4,E18,WB,CC,GO:0014069,postsynaptic density,316,29,8.36,1.1e-06
3,4,L4_M_E18_WB_CC,M,L4,E18,WB,CC,GO:0098982,GABA-ergic synapse,67,11,1.77,1.3e-06
4,5,L4_M_E18_WB_CC,M,L4,E18,WB,CC,GO:0043197,dendritic spine,190,17,5.02,1.2e-05
0,1,L4_M_E18_WB_MF,M,L4,E18,WB,MF,GO:0003735,structural constituent of ribosome,156,27,4.16,7.6e-15
1,2,L4_M_E18_WB_MF,M,L4,E18,WB,MF,GO:0019843,rRNA binding,71,11,1.89,2.6e-06
2,3,L4_M_E18_WB_MF,M,L4,E18,WB,MF,GO:1990948,ubiquitin ligase inhibitor activity,9,4,0.24,5.7e-05
3,4,L4_M_E18_WB_MF,M,L4,E18,WB,MF,GO:0030165,PDZ domain binding,109,11,2.91,0.00016
4,5,L4_M_E18_WB_MF,M,L4,E18,WB,MF,GO:0047676,arachidonate-CoA ligase activity,9,3,0.24,0.0014
0,1,Pvalb_M_E18_WB_BP,M,Pvalb,E18,WB,BP,GO:0010976,positive regulation of neuron projection development,206,6,0.89,0.00026
1,2,Pvalb_M_E18_WB_BP,M,Pvalb,E18,WB,BP,GO:0071896,protein localization to adherens junction,6,2,0.03,0.00027
2,3,Pvalb_M_E18_WB_BP,M,Pvalb,E18,WB,BP,GO:0007406,negative regulation of neuroblast proliferation,8,2,0.03,0.00051
3,4,Pvalb_M_E18_WB_BP,M,Pvalb,E18,WB,BP,GO:0033603,positive regulation of dopamine secretion,9,2,0.04,0.00065
4,5,Pvalb_M_E18_WB_BP,M,Pvalb,E18,WB,BP,GO:0002523,leukocyte migration involved in inflammatory response,10,2,0.04,0.00081
0,1,Pvalb_M_E18_WB_CC,M,Pvalb,E18,WB,CC,GO:0043209,myelin sheath,197,7,0.86,2.4e-05
1,2,Pvalb_M_E18_WB_CC,M,Pvalb,E18,WB,CC,GO:0005890,sodium:potassium-exchanging ATPase complex,7,2,0.03,0.00039
2,3,Pvalb_M_E18_WB_CC,M,Pvalb,E18,WB,CC,GO:0042788,polysomal ribosome,34,3,0.15,0.00044
3,4,Pvalb_M_E18_WB_CC,M,Pvalb,E18,WB,CC,GO:0099571,postsynaptic cytoskeleton,9,2,0.04,0.00067
4,5,Pvalb_M_E18_WB_CC,M,Pvalb,E18,WB,CC,GO:0045202,synapse,1188,17,5.21,0.00118
0,1,Pvalb_M_E18_WB_MF,M,Pvalb,E18,WB,MF,GO:0005200,structural constituent of cytoskeleton,51,4,0.22,6.7e-05
1,2,Pvalb_M_E18_WB_MF,M,Pvalb,E18,WB,MF,GO:0003735,structural constituent of ribosome,156,5,0.67,0.00055
2,3,Pvalb_M_E18_WB_MF,M,Pvalb,E18,WB,MF,GO:0099186,structural constituent of postsynapse,19,2,0.08,0.00298
3,4,Pvalb_M_E18_WB_MF,M,Pvalb,E18,WB,MF,GO:0008682,"2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity",1,1,0.0,0.00431
4,5,Pvalb_M_E18_WB_MF,M,Pvalb,E18,WB,MF,GO:0031722,hemoglobin beta binding,1,1,0.0,0.00431
0,1,Sncg_M_E18_WB_BP,M,Sncg,E18,WB,BP,GO:0000002,mitochondrial genome maintenance,24,0,0.0,1
1,2,Sncg_M_E18_WB_BP,M,Sncg,E18,WB,BP,GO:0000003,reproduction,950,0,0.0,1
2,3,Sncg_M_E18_WB_BP,M,Sncg,E18,WB,BP,GO:0000012,single strand break repair,11,0,0.0,1
3,4,Sncg_M_E18_WB_BP,M,Sncg,E18,WB,BP,GO:0000018,regulation of DNA recombination,74,0,0.0,1
4,5,Sncg_M_E18_WB_BP,M,Sncg,E18,WB,BP,GO:0000019,regulation of mitotic recombination,6,0,0.0,1
0,1,Sncg_M_E18_WB_CC,M,Sncg,E18,WB,CC,GO:0000015,phosphopyruvate hydratase complex,4,0,0.0,1
1,2,Sncg_M_E18_WB_CC,M,Sncg,E18,WB,CC,GO:0000109,nucleotide-excision repair complex,13,0,0.0,1
2,3,Sncg_M_E18_WB_CC,M,Sncg,E18,WB,CC,GO:0000110,nucleotide-excision repair factor 1 complex,3,0,0.0,1
3,4,Sncg_M_E18_WB_CC,M,Sncg,E18,WB,CC,GO:0000111,nucleotide-excision repair factor 2 complex,1,0,0.0,1
4,5,Sncg_M_E18_WB_CC,M,Sncg,E18,WB,CC,GO:0000112,nucleotide-excision repair factor 3 complex,1,0,0.0,1
0,1,Sncg_M_E18_WB_MF,M,Sncg,E18,WB,MF,GO:0000009,"alpha-1,6-mannosyltransferase activity",2,0,0.0,1
1,2,Sncg_M_E18_WB_MF,M,Sncg,E18,WB,MF,GO:0000010,trans-hexaprenyltranstransferase activity,2,0,0.0,1
2,3,Sncg_M_E18_WB_MF,M,Sncg,E18,WB,MF,GO:0000014,single-stranded DNA endodeoxyribonuclease activity,12,0,0.0,1
3,4,Sncg_M_E18_WB_MF,M,Sncg,E18,WB,MF,GO:0000026,"alpha-1,2-mannosyltransferase activity",4,0,0.0,1
4,5,Sncg_M_E18_WB_MF,M,Sncg,E18,WB,MF,GO:0000030,mannosyltransferase activity,23,0,0.0,1
0,1,Non_neuronal_M_E18_WB_BP,M,Non_neuronal,E18,WB,BP,GO:0099054,presynapse assembly,49,2,0.04,0.00081
1,2,Non_neuronal_M_E18_WB_BP,M,Non_neuronal,E18,WB,BP,GO:0051966,"regulation of synaptic transmission, glutamatergic",66,2,0.06,0.00147
2,3,Non_neuronal_M_E18_WB_BP,M,Non_neuronal,E18,WB,BP,GO:1902340,negative regulation of chromosome condensation,2,1,0.0,0.00176
3,4,Non_neuronal_M_E18_WB_BP,M,Non_neuronal,E18,WB,BP,GO:0033693,neurofilament bundle assembly,3,1,0.0,0.00263
4,5,Non_neuronal_M_E18_WB_BP,M,Non_neuronal,E18,WB,BP,GO:0045105,intermediate filament polymerization or depolymerization,3,1,0.0,0.00263
0,1,Non_neuronal_M_E18_WB_CC,M,Non_neuronal,E18,WB,CC,GO:0045211,postsynaptic membrane,245,3,0.23,0.0014
1,2,Non_neuronal_M_E18_WB_CC,M,Non_neuronal,E18,WB,CC,GO:0099182,presynaptic intermediate filament cytoskeleton,2,1,0.0,0.0019
2,3,Non_neuronal_M_E18_WB_CC,M,Non_neuronal,E18,WB,CC,GO:0043195,terminal bouton,70,2,0.07,0.0019
3,4,Non_neuronal_M_E18_WB_CC,M,Non_neuronal,E18,WB,CC,GO:0098978,glutamatergic synapse,309,3,0.29,0.0027
4,5,Non_neuronal_M_E18_WB_CC,M,Non_neuronal,E18,WB,CC,GO:0099160,postsynaptic intermediate filament cytoskeleton,3,1,0.0,0.0028
0,1,Non_neuronal_M_E18_WB_MF,M,Non_neuronal,E18,WB,MF,GO:1904315,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,41,2,0.04,0.00069
1,2,Non_neuronal_M_E18_WB_MF,M,Non_neuronal,E18,WB,MF,GO:0099184,structural constituent of postsynaptic intermediate filament cytoskeleton,3,1,0.0,0.00288
2,3,Non_neuronal_M_E18_WB_MF,M,Non_neuronal,E18,WB,MF,GO:0001642,group III metabotropic glutamate receptor activity,3,1,0.0,0.00288
3,4,Non_neuronal_M_E18_WB_MF,M,Non_neuronal,E18,WB,MF,GO:0010855,adenylate cyclase inhibitor activity,3,1,0.0,0.00288
4,5,Non_neuronal_M_E18_WB_MF,M,Non_neuronal,E18,WB,MF,GO:0004971,AMPA glutamate receptor activity,4,1,0.0,0.00384
0,1,Oligo_M_E18_WB_BP,M,Oligo,E18,WB,BP,GO:0070327,thyroid hormone transport,6,1,0.0,0.00048
1,2,Oligo_M_E18_WB_BP,M,Oligo,E18,WB,BP,GO:0042572,retinol metabolic process,9,1,0.0,0.00071
2,3,Oligo_M_E18_WB_BP,M,Oligo,E18,WB,BP,GO:0006144,purine nucleobase metabolic process,15,1,0.0,0.00119
3,4,Oligo_M_E18_WB_BP,M,Oligo,E18,WB,BP,GO:0034308,primary alcohol metabolic process,37,1,0.0,1.0
4,5,Oligo_M_E18_WB_BP,M,Oligo,E18,WB,BP,GO:0006629,lipid metabolic process,854,1,0.07,1.0
0,1,Oligo_M_E18_WB_CC,M,Oligo,E18,WB,CC,GO:0005615,extracellular space,656,1,0.05,0.052
1,2,Oligo_M_E18_WB_CC,M,Oligo,E18,WB,CC,GO:0005576,extracellular region,1028,1,0.08,0.081
2,3,Oligo_M_E18_WB_CC,M,Oligo,E18,WB,CC,GO:0032991,protein-containing complex,4149,1,0.33,0.327
3,4,Oligo_M_E18_WB_CC,M,Oligo,E18,WB,CC,GO:0110165,cellular anatomical entity,11610,1,0.92,0.916
4,5,Oligo_M_E18_WB_CC,M,Oligo,E18,WB,CC,GO:0005575,cellular_component,12676,1,1.0,1.0
0,1,Oligo_M_E18_WB_MF,M,Oligo,E18,WB,MF,GO:0070324,thyroid hormone binding,6,1,0.0,0.00048
1,2,Oligo_M_E18_WB_MF,M,Oligo,E18,WB,MF,GO:0005179,hormone activity,39,1,0.0,0.00313
2,3,Oligo_M_E18_WB_MF,M,Oligo,E18,WB,MF,GO:0044877,protein-containing complex binding,1125,1,0.09,0.09015
3,4,Oligo_M_E18_WB_MF,M,Oligo,E18,WB,MF,GO:0042802,identical protein binding,1707,1,0.14,0.13679
4,5,Oligo_M_E18_WB_MF,M,Oligo,E18,WB,MF,GO:0003674,molecular_function,12479,1,1.0,1.0
0,1,Vip_M_E18_WB_BP,M,Vip,E18,WB,BP,GO:0099560,synaptic membrane adhesion,34,6,0.48,6.9e-06
1,2,Vip_M_E18_WB_BP,M,Vip,E18,WB,BP,GO:1905606,regulation of presynapse assembly,36,6,0.51,9.8e-06
2,3,Vip_M_E18_WB_BP,M,Vip,E18,WB,BP,GO:0035235,ionotropic glutamate receptor signaling pathway,14,4,0.2,3.4e-05
3,4,Vip_M_E18_WB_BP,M,Vip,E18,WB,BP,GO:0006412,translation,562,21,7.9,4.3e-05
4,5,Vip_M_E18_WB_BP,M,Vip,E18,WB,BP,GO:1902340,negative regulation of chromosome condensation,2,2,0.03,0.0002
0,1,Vip_M_E18_WB_CC,M,Vip,E18,WB,CC,GO:0022627,cytosolic small ribosomal subunit,45,11,0.64,2.3e-11
1,2,Vip_M_E18_WB_CC,M,Vip,E18,WB,CC,GO:0022625,cytosolic large ribosomal subunit,54,9,0.76,5.8e-08
2,3,Vip_M_E18_WB_CC,M,Vip,E18,WB,CC,GO:0098978,glutamatergic synapse,308,19,4.35,7.7e-08
3,4,Vip_M_E18_WB_CC,M,Vip,E18,WB,CC,GO:0099061,integral component of postsynaptic density membrane,38,6,0.54,1.4e-05
4,5,Vip_M_E18_WB_CC,M,Vip,E18,WB,CC,GO:0099026,anchored component of presynaptic membrane,6,3,0.08,5.4e-05
0,1,Vip_M_E18_WB_MF,M,Vip,E18,WB,MF,GO:0003735,structural constituent of ribosome,157,18,2.27,1.2e-11
1,2,Vip_M_E18_WB_MF,M,Vip,E18,WB,MF,GO:0005344,oxygen carrier activity,7,3,0.1,0.0001
2,3,Vip_M_E18_WB_MF,M,Vip,E18,WB,MF,GO:1990948,ubiquitin ligase inhibitor activity,9,3,0.13,0.00024
3,4,Vip_M_E18_WB_MF,M,Vip,E18,WB,MF,GO:0048027,mRNA 5'-UTR binding,28,4,0.41,0.00066
4,5,Vip_M_E18_WB_MF,M,Vip,E18,WB,MF,GO:0016595,glutamate binding,13,3,0.19,0.00077
0,1,Lamp5_M_E18_WB_BP,M,Lamp5,E18,WB,BP,GO:0007612,learning,163,19,5.52,2.6e-06
1,2,Lamp5_M_E18_WB_BP,M,Lamp5,E18,WB,BP,GO:0010976,positive regulation of neuron projection development,203,21,6.87,5.4e-06
2,3,Lamp5_M_E18_WB_BP,M,Lamp5,E18,WB,BP,GO:1905606,regulation of presynapse assembly,36,8,1.22,2.1e-05
3,4,Lamp5_M_E18_WB_BP,M,Lamp5,E18,WB,BP,GO:0016339,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,28,7,0.95,3.1e-05
4,5,Lamp5_M_E18_WB_BP,M,Lamp5,E18,WB,BP,GO:0007605,sensory perception of sound,130,15,4.4,3.3e-05
0,1,Lamp5_M_E18_WB_CC,M,Lamp5,E18,WB,CC,GO:0022627,cytosolic small ribosomal subunit,45,15,1.52,9.2e-12
1,2,Lamp5_M_E18_WB_CC,M,Lamp5,E18,WB,CC,GO:0022625,cytosolic large ribosomal subunit,52,15,1.75,9.6e-11
2,3,Lamp5_M_E18_WB_CC,M,Lamp5,E18,WB,CC,GO:0098978,glutamatergic synapse,309,33,10.43,4.8e-09
3,4,Lamp5_M_E18_WB_CC,M,Lamp5,E18,WB,CC,GO:0043209,myelin sheath,198,23,6.68,2.4e-07
4,5,Lamp5_M_E18_WB_CC,M,Lamp5,E18,WB,CC,GO:0045202,synapse,1191,108,40.19,3.3e-07
0,1,Lamp5_M_E18_WB_MF,M,Lamp5,E18,WB,MF,GO:0003735,structural constituent of ribosome,156,29,5.27,4.8e-14
1,2,Lamp5_M_E18_WB_MF,M,Lamp5,E18,WB,MF,GO:0005516,calmodulin binding,163,17,5.5,3.7e-05
2,3,Lamp5_M_E18_WB_MF,M,Lamp5,E18,WB,MF,GO:1990948,ubiquitin ligase inhibitor activity,8,4,0.27,8.1e-05
3,4,Lamp5_M_E18_WB_MF,M,Lamp5,E18,WB,MF,GO:0045295,gamma-catenin binding,10,4,0.34,0.00023
4,5,Lamp5_M_E18_WB_MF,M,Lamp5,E18,WB,MF,GO:0005509,calcium ion binding,456,29,15.39,0.00083
0,1,Astro_M_E18_WB_BP,M,Astro,E18,WB,BP,GO:1900006,positive regulation of dendrite development,22,3,0.06,2.3e-05
1,2,Astro_M_E18_WB_BP,M,Astro,E18,WB,BP,GO:0003211,cardiac ventricle formation,5,2,0.01,6.3e-05
2,3,Astro_M_E18_WB_BP,M,Astro,E18,WB,BP,GO:0034374,low-density lipoprotein particle remodeling,6,2,0.02,9.5e-05
3,4,Astro_M_E18_WB_BP,M,Astro,E18,WB,BP,GO:0070779,D-aspartate import across plasma membrane,6,2,0.02,9.5e-05
4,5,Astro_M_E18_WB_BP,M,Astro,E18,WB,BP,GO:0003357,noradrenergic neuron differentiation,7,2,0.02,0.00013
0,1,Astro_M_E18_WB_CC,M,Astro,E18,WB,CC,GO:0005615,extracellular space,757,12,1.93,6.5e-06
1,2,Astro_M_E18_WB_CC,M,Astro,E18,WB,CC,GO:0031232,extrinsic component of external side of plasma membrane,5,2,0.01,6.3e-05
2,3,Astro_M_E18_WB_CC,M,Astro,E18,WB,CC,GO:0034362,low-density lipoprotein particle,7,2,0.02,0.00013
3,4,Astro_M_E18_WB_CC,M,Astro,E18,WB,CC,GO:0097450,astrocyte end-foot,9,2,0.02,0.00022
4,5,Astro_M_E18_WB_CC,M,Astro,E18,WB,CC,GO:0031253,cell projection membrane,242,5,0.62,0.00034
0,1,Astro_M_E18_WB_MF,M,Astro,E18,WB,MF,GO:0005314,high-affinity glutamate transmembrane transporter activity,4,2,0.01,3.9e-05
1,2,Astro_M_E18_WB_MF,M,Astro,E18,WB,MF,GO:0005102,signaling receptor binding,1009,9,2.61,0.00082
2,3,Astro_M_E18_WB_MF,M,Astro,E18,WB,MF,GO:0008201,heparin binding,101,3,0.26,0.00221
3,4,Astro_M_E18_WB_MF,M,Astro,E18,WB,MF,GO:0031721,hemoglobin alpha binding,1,1,0.0,0.00258
4,5,Astro_M_E18_WB_MF,M,Astro,E18,WB,MF,GO:0031722,hemoglobin beta binding,1,1,0.0,0.00258
0,1,Peri_M_E18_WB_BP,M,Peri,E18,WB,BP,GO:0000002,mitochondrial genome maintenance,22,0,0.0,1
1,2,Peri_M_E18_WB_BP,M,Peri,E18,WB,BP,GO:0000003,reproduction,828,0,0.0,1
2,3,Peri_M_E18_WB_BP,M,Peri,E18,WB,BP,GO:0000012,single strand break repair,11,0,0.0,1
3,4,Peri_M_E18_WB_BP,M,Peri,E18,WB,BP,GO:0000018,regulation of DNA recombination,73,0,0.0,1
4,5,Peri_M_E18_WB_BP,M,Peri,E18,WB,BP,GO:0000019,regulation of mitotic recombination,6,0,0.0,1
0,1,Peri_M_E18_WB_CC,M,Peri,E18,WB,CC,GO:0000015,phosphopyruvate hydratase complex,2,0,0.0,1
1,2,Peri_M_E18_WB_CC,M,Peri,E18,WB,CC,GO:0000109,nucleotide-excision repair complex,13,0,0.0,1
2,3,Peri_M_E18_WB_CC,M,Peri,E18,WB,CC,GO:0000110,nucleotide-excision repair factor 1 complex,3,0,0.0,1
3,4,Peri_M_E18_WB_CC,M,Peri,E18,WB,CC,GO:0000111,nucleotide-excision repair factor 2 complex,1,0,0.0,1
4,5,Peri_M_E18_WB_CC,M,Peri,E18,WB,CC,GO:0000112,nucleotide-excision repair factor 3 complex,1,0,0.0,1
0,1,Peri_M_E18_WB_MF,M,Peri,E18,WB,MF,GO:0000009,"alpha-1,6-mannosyltransferase activity",1,0,0.0,1
1,2,Peri_M_E18_WB_MF,M,Peri,E18,WB,MF,GO:0000010,trans-hexaprenyltranstransferase activity,2,0,0.0,1
2,3,Peri_M_E18_WB_MF,M,Peri,E18,WB,MF,GO:0000014,single-stranded DNA endodeoxyribonuclease activity,11,0,0.0,1
3,4,Peri_M_E18_WB_MF,M,Peri,E18,WB,MF,GO:0000026,"alpha-1,2-mannosyltransferase activity",4,0,0.0,1
4,5,Peri_M_E18_WB_MF,M,Peri,E18,WB,MF,GO:0000030,mannosyltransferase activity,22,0,0.0,1
0,1,Endo_M_E18_WB_BP,M,Endo,E18,WB,BP,GO:0000002,mitochondrial genome maintenance,19,0,0.0,1
1,2,Endo_M_E18_WB_BP,M,Endo,E18,WB,BP,GO:0000003,reproduction,786,0,0.0,1
2,3,Endo_M_E18_WB_BP,M,Endo,E18,WB,BP,GO:0000012,single strand break repair,11,0,0.0,1
3,4,Endo_M_E18_WB_BP,M,Endo,E18,WB,BP,GO:0000018,regulation of DNA recombination,66,0,0.0,1
4,5,Endo_M_E18_WB_BP,M,Endo,E18,WB,BP,GO:0000019,regulation of mitotic recombination,5,0,0.0,1
0,1,Endo_M_E18_WB_CC,M,Endo,E18,WB,CC,GO:0000015,phosphopyruvate hydratase complex,2,0,0.0,1
