"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","db","module"
"Megakaryocyte Differentiation (GO:0030219)","2/17",0.00320528834894988,0.0684981991608919,0,0,27.0544217687075,155.372278725068,"MAF;KIT","GO_Biological_Process_2023","green"
"Cardiac Muscle Cell Contraction (GO:0086003)","2/18",0.00359423711737408,0.074066957740173,0,0,25.3622448979592,142.749455625051,"FGF12;SCN1A","GO_Biological_Process_2023","green"
"Response To BMP (GO:0071772)","2/23",0.00584761959206228,0.116347465676549,0,0,19.3187560738581,99.3316462237063,"DLX1;VSTM2A","GO_Biological_Process_2023","green"
"Positive Regulation Of Synaptic Transmission (GO:0050806)","3/77",0.0067890554235684,0.130576165979965,0,0,8.28615213151296,41.3681460172482,"RELN;CLSTN3;GRIK2","GO_Biological_Process_2023","green"
"L-amino Acid Transport (GO:0015807)","2/26",0.0074389947886241,0.138461290097939,0,0,16.9013605442177,82.8338984204336,"SLC38A1;SLC32A1","GO_Biological_Process_2023","green"
"Synaptic Transmission, Glutamatergic (GO:0035249)","2/27",0.00800810651058956,0.140020528988187,0,0,16.2244897959184,78.3204947866311,"GRIK1;GRIK2","GO_Biological_Process_2023","green"
"Negative Regulation Of Neurogenesis (GO:0050768)","2/27",0.00800810651058956,0.140020528988187,0,0,16.2244897959184,78.3204947866311,"DPYSL5;RUFY3","GO_Biological_Process_2023","green"
"Vascular Transport (GO:0010232)","3/83",0.00834600734283341,0.141636654023967,0,0,7.66237113402062,36.6718938313713,"SLC38A1;SLC24A3;SLC6A1","GO_Biological_Process_2023","green"
"Regulation Of Sodium Ion Transmembrane Transport (GO:1902305)","2/28",0.00859620747114401,0.141714620310003,0,0,15.5996860282575,74.1988795836398,"UTRN;FGF12","GO_Biological_Process_2023","green"
"Transport Across Blood-Brain Barrier (GO:0150104)","3/85",0.00890772751370806,0.141777235063744,0,0,7.47472969575057,35.2869739274349,"SLC38A1;SLC24A3;SLC6A1","GO_Biological_Process_2023","green"
"Cardiac Muscle Cell Action Potential (GO:0086001)","2/29",0.00920309747511436,0.141777235063744,0,0,15.021164021164,70.4224490277819,"FGF12;SCN1A","GO_Biological_Process_2023","green"
"Regulation Of Potassium Ion Transport (GO:0043266)","2/30",0.00982857782071015,0.141777235063744,0,0,14.4839650145773,66.9515638793864,"KCNIP1;KCNAB1","GO_Biological_Process_2023","green"
"Cardiac Muscle Cell Action Potential Involved In Contraction (GO:0086002)","2/30",0.00982857782071015,0.141777235063744,0,0,14.4839650145773,66.9515638793864,"FGF12;SCN1A","GO_Biological_Process_2023","green"
"Positive Regulation Of Cell Communication (GO:0010647)","2/30",0.00982857782071015,0.141777235063744,0,0,14.4839650145773,66.9515638793864,"CLSTN3;GRIK2","GO_Biological_Process_2023","green"
"Brain Development (GO:0007420)","4/169",0.0102942937098222,0.144873352940668,0,0,4.98358585858586,22.8057139016992,"CNTNAP2;RELN;CNTN5;SOX6","GO_Biological_Process_2023","green"
"Mesenchymal Cell Migration (GO:0090497)","2/32",0.0111345221222249,0.152967125345804,0,0,13.5170068027211,60.795507674817,"ERBB4;SEMA4G","GO_Biological_Process_2023","green"
"Regulation Of Potassium Ion Transmembrane Transport (GO:1901379)","2/33",0.0118145960439168,0.158535393426511,0,0,13.0803159973667,58.0559303610333,"KCNIP1;KCNAB1","GO_Biological_Process_2023","green"
"Glutamate Receptor Signaling Pathway (GO:0007215)","2/35",0.0132279832722483,0.165388643147788,0,0,12.2863327149041,53.1435584472206,"GRIK1;GRIK2","GO_Biological_Process_2023","green"
"Neutral Amino Acid Transport (GO:0015804)","2/35",0.0132279832722483,0.165388643147788,0,0,12.2863327149041,53.1435584472206,"SLC38A1;SLC32A1","GO_Biological_Process_2023","green"
"Neural Crest Cell Migration (GO:0001755)","2/36",0.0139609152364796,0.165388643147788,0,0,11.9243697478992,50.9348693298221,"ERBB4;SEMA4G","GO_Biological_Process_2023","green"
"Synaptic Vesicle Cycle (GO:0099504)","2/37",0.0147110875878219,0.165388643147788,0,0,11.5830903790087,48.8708399253876,"SLC32A1;CPLX1","GO_Biological_Process_2023","green"
"Positive Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046427)","2/37",0.0147110875878219,0.165388643147788,0,0,11.5830903790087,48.8708399253876,"ERBB4;KIT","GO_Biological_Process_2023","green"
"Positive Regulation Of Receptor Signaling Pathway Via STAT (GO:1904894)","2/37",0.0147110875878219,0.165388643147788,0,0,11.5830903790087,48.8708399253876,"ERBB4;KIT","GO_Biological_Process_2023","green"
"Positive Regulation Of Signaling (GO:0023056)","2/37",0.0147110875878219,0.165388643147788,0,0,11.5830903790087,48.8708399253876,"CLSTN3;GRIK2","GO_Biological_Process_2023","green"
"Regulation Of Sodium Ion Transmembrane Transporter Activity (GO:2000649)","2/37",0.0147110875878219,0.165388643147788,0,0,11.5830903790087,48.8708399253876,"UTRN;FGF12","GO_Biological_Process_2023","green"
"Inorganic Cation Import Across Plasma Membrane (GO:0098659)","3/103",0.0149559054974685,0.165388643147788,0,0,6.12371134020619,25.7358095887729,"ATP1A3;SLC6A1;SCN1A","GO_Biological_Process_2023","green"
"Response To Transforming Growth Factor Beta (GO:0071559)","2/38",0.0154783132235365,0.165388643147788,0,0,11.2607709750567,46.9384448645158,"DLX1;SOX6","GO_Biological_Process_2023","green"
"Signal Release From Synapse (GO:0099643)","2/38",0.0154783132235365,0.165388643147788,0,0,11.2607709750567,46.9384448645158,"SLC32A1;CPLX1","GO_Biological_Process_2023","green"
"Digestive Tract Development (GO:0048565)","2/39",0.0162624064321538,0.170607427479141,0,0,10.9558742415885,45.1261415257865,"NPY;KIT","GO_Biological_Process_2023","green"
"Positive Regulation Of Neuron Differentiation (GO:0045666)","2/42",0.0187140554000923,0.187675885092304,0,0,10.1326530612245,40.3125617234172,"DLX1;TCF4","GO_Biological_Process_2023","green"
"Neurotransmitter Secretion (GO:0007269)","2/43",0.0195637897091909,0.187675885092304,0,0,9.88501742160279,38.888398778374,"SLC32A1;CPLX1","GO_Biological_Process_2023","green"
"Learning (GO:0007612)","2/43",0.0195637897091909,0.187675885092304,0,0,9.88501742160279,38.888398778374,"CNTNAP2;SLC6A1","GO_Biological_Process_2023","green"
"Neural Crest Cell Development (GO:0014032)","2/44",0.0204294838615153,0.187675885092304,0,0,9.6491739552964,37.5427757402553,"ERBB4;SEMA4G","GO_Biological_Process_2023","green"
"Regulation Of Cell Migration (GO:0030334)","6/434",0.0217893851239897,0.187675885092304,0,0,2.90395704911513,11.1115047962341,"RELN;ERBB4;SST;RUFY3;KIT;SEMA4G","GO_Biological_Process_2023","green"
"Amino Acid Transport (GO:0006865)","2/46",0.0222080432575084,0.187675885092304,0,0,9.20964749536178,35.0638977870873,"SLC38A1;SLC32A1","GO_Biological_Process_2023","green"
"Regulation Of Cell Motility (GO:2000145)","3/123",0.0238342004694833,0.187675885092304,0,0,5.0979381443299,19.0491276504594,"ERBB4;SST;SPOCK3","GO_Biological_Process_2023","green"
"Chloride Transmembrane Transport (GO:1902476)","2/48",0.0240483300532172,0.187675885092304,0,0,8.80834072759539,32.8347611919466,"SLC6A1;GABRG3","GO_Biological_Process_2023","green"
"Positive Regulation Of Gap Junction Assembly (GO:1903598)","1/5",0.0247535287182936,0.187675885092304,0,0,50.2424242424242,185.836036973753,"CNTNAP2","GO_Biological_Process_2023","green"
"Neurotransmitter Loading Into Synaptic Vesicle (GO:0098700)","1/5",0.0247535287182936,0.187675885092304,0,0,50.2424242424242,185.836036973753,"SLC32A1","GO_Biological_Process_2023","green"
"Positive Regulation Of Vascular Associated Smooth Muscle Cell Differentiation (GO:1905065)","1/5",0.0247535287182936,0.187675885092304,0,0,50.2424242424242,185.836036973753,"KIT","GO_Biological_Process_2023","green"
"Regulation Of Transmission Of Nerve Impulse (GO:0051969)","1/5",0.0247535287182936,0.187675885092304,0,0,50.2424242424242,185.836036973753,"FGF12","GO_Biological_Process_2023","green"
"Cerebral Cortex Cell Migration (GO:0021795)","1/5",0.0247535287182936,0.187675885092304,0,0,50.2424242424242,185.836036973753,"RELN","GO_Biological_Process_2023","green"
"Regulation Of Voltage-Gated Sodium Channel Activity (GO:1905150)","1/5",0.0247535287182936,0.187675885092304,0,0,50.2424242424242,185.836036973753,"FGF12","GO_Biological_Process_2023","green"
"Retinal Ganglion Cell Axon Guidance (GO:0031290)","1/5",0.0247535287182936,0.187675885092304,0,0,50.2424242424242,185.836036973753,"PTPRM","GO_Biological_Process_2023","green"
"Negative Regulation Of Cardiac Muscle Cell Differentiation (GO:2000726)","1/5",0.0247535287182936,0.187675885092304,0,0,50.2424242424242,185.836036973753,"SOX6","GO_Biological_Process_2023","green"
"Positive Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050731)","3/130",0.0274860097045577,0.187675885092304,0,0,4.81524474389155,17.3063658813262,"RELN;ERBB4;KIT","GO_Biological_Process_2023","green"
"Neurotransmitter Transport (GO:0006836)","2/52",0.0279085775805054,0.187675885092304,0,0,8.10204081632653,28.9957554144004,"SLC38A1;SLC32A1","GO_Biological_Process_2023","green"
"Synapse Organization (GO:0050808)","3/131",0.0280307213331603,0.187675885092304,0,0,4.77738402061856,17.0765402810598,"DNER;SLC6A1;PPFIA4","GO_Biological_Process_2023","green"
"Plasma Membrane Bounded Cell Projection Organization (GO:0120036)","3/132",0.0285811776295865,0.187675885092304,0,0,4.74011028530328,16.8511247836,"CNTNAP2;NPY;PTPRM","GO_Biological_Process_2023","green"
"Actin Cytoskeleton Reorganization (GO:0031532)","2/53",0.0289100845392209,0.187675885092304,0,0,7.94277711084434,28.1457453742055,"KIT;THSD7A","GO_Biological_Process_2023","green"
"Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046425)","2/53",0.0289100845392209,0.187675885092304,0,0,7.94277711084434,28.1457453742055,"ERBB4;KIT","GO_Biological_Process_2023","green"
"CENP-A Containing Chromatin Assembly (GO:0034080)","1/6",0.0296309633944118,0.187675885092304,0,0,40.1919191919192,141.432767389918,"HJURP","GO_Biological_Process_2023","green"
"Synaptic Signaling (GO:0099536)","1/6",0.0296309633944118,0.187675885092304,0,0,40.1919191919192,141.432767389918,"UTRN","GO_Biological_Process_2023","green"
"Gamma-Aminobutyric Acid Transport (GO:0015812)","1/6",0.0296309633944118,0.187675885092304,0,0,40.1919191919192,141.432767389918,"SLC6A1","GO_Biological_Process_2023","green"
"Adenosine To Inosine Editing (GO:0006382)","1/6",0.0296309633944118,0.187675885092304,0,0,40.1919191919192,141.432767389918,"ADARB2","GO_Biological_Process_2023","green"
"Adult Feeding Behavior (GO:0008343)","1/6",0.0296309633944118,0.187675885092304,0,0,40.1919191919192,141.432767389918,"NPY","GO_Biological_Process_2023","green"
"Nucleobase Catabolic Process (GO:0046113)","1/6",0.0296309633944118,0.187675885092304,0,0,40.1919191919192,141.432767389918,"DPYSL5","GO_Biological_Process_2023","green"
"Regulation Of Vascular Associated Smooth Muscle Cell Differentiation (GO:1905063)","1/6",0.0296309633944118,0.187675885092304,0,0,40.1919191919192,141.432767389918,"KIT","GO_Biological_Process_2023","green"
"Chromatin Remodeling At Centromere (GO:0031055)","1/6",0.0296309633944118,0.187675885092304,0,0,40.1919191919192,141.432767389918,"HJURP","GO_Biological_Process_2023","green"
"Regulation Of SA Node Cell Action Potential (GO:0098907)","1/6",0.0296309633944118,0.187675885092304,0,0,40.1919191919192,141.432767389918,"HCN1","GO_Biological_Process_2023","green"
"Detection Of Stimulus Involved In Sensory Perception Of Pain (GO:0062149)","1/6",0.0296309633944118,0.187675885092304,0,0,40.1919191919192,141.432767389918,"SCN1A","GO_Biological_Process_2023","green"
"Negative Regulation Of Cardiocyte Differentiation (GO:1905208)","1/6",0.0296309633944118,0.187675885092304,0,0,40.1919191919192,141.432767389918,"SOX6","GO_Biological_Process_2023","green"
"Peptidyl-Tyrosine Modification (GO:0018212)","2/54",0.029925836282038,0.187675885092304,0,0,7.78963893249608,27.3341007109313,"RELN;ERBB4","GO_Biological_Process_2023","green"
"Monoatomic Anion Transmembrane Transport (GO:0098656)","2/54",0.029925836282038,0.187675885092304,0,0,7.78963893249608,27.3341007109313,"SLC6A1;GABRG3","GO_Biological_Process_2023","green"
"Positive Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042531)","2/55",0.030955668405524,0.187675885092304,0,0,7.64227955333077,26.5584434034501,"ERBB4;KIT","GO_Biological_Process_2023","green"
"Myeloid Cell Differentiation (GO:0030099)","2/57",0.0330569224942901,0.187675885092304,0,0,7.36363636363636,25.1064969666325,"MAF;KIT","GO_Biological_Process_2023","green"
"Muscle Organ Development (GO:0007517)","2/58",0.0341280219187038,0.187675885092304,0,0,7.23177842565598,24.4263185896388,"SOX6;UTRN","GO_Biological_Process_2023","green"
"Regulation Of Dopamine Uptake Involved In Synaptic Transmission (GO:0051584)","1/7",0.0344842492004147,0.187675885092304,0,0,33.4915824915825,112.774618360503,"RAB3B","GO_Biological_Process_2023","green"
"Regulation Of Mesenchymal Stem Cell Differentiation (GO:2000739)","1/7",0.0344842492004147,0.187675885092304,0,0,33.4915824915825,112.774618360503,"SOX6","GO_Biological_Process_2023","green"
"Anterograde Axonal Protein Transport (GO:0099641)","1/7",0.0344842492004147,0.187675885092304,0,0,33.4915824915825,112.774618360503,"RAB27B","GO_Biological_Process_2023","green"
"Axo-Dendritic Protein Transport (GO:0099640)","1/7",0.0344842492004147,0.187675885092304,0,0,33.4915824915825,112.774618360503,"RAB27B","GO_Biological_Process_2023","green"
"Mammary Gland Epithelial Cell Differentiation (GO:0060644)","1/7",0.0344842492004147,0.187675885092304,0,0,33.4915824915825,112.774618360503,"ERBB4","GO_Biological_Process_2023","green"
"Protein Localization To Presynapse (GO:1905383)","1/7",0.0344842492004147,0.187675885092304,0,0,33.4915824915825,112.774618360503,"RAB27B","GO_Biological_Process_2023","green"
"Cellular Response To Nitric Oxide (GO:0071732)","1/7",0.0344842492004147,0.187675885092304,0,0,33.4915824915825,112.774618360503,"KCNC2","GO_Biological_Process_2023","green"
"Pyrimidine Nucleobase Catabolic Process (GO:0006208)","1/7",0.0344842492004147,0.187675885092304,0,0,33.4915824915825,112.774618360503,"DPYSL5","GO_Biological_Process_2023","green"
"Cellular Response To Reactive Nitrogen Species (GO:1902170)","1/7",0.0344842492004147,0.187675885092304,0,0,33.4915824915825,112.774618360503,"KCNC2","GO_Biological_Process_2023","green"
"Negative Regulation Of Peptidase Activity (GO:0010466)","2/60",0.0363103684614095,0.187675885092304,0,0,6.981703026038,23.1488972243337,"SPOCK3;SERPINI1","GO_Biological_Process_2023","green"
"Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules (GO:0007156)","2/60",0.0363103684614095,0.187675885092304,0,0,6.981703026038,23.1488972243337,"CNTN6;PTPRM","GO_Biological_Process_2023","green"
"protein-DNA Complex Organization (GO:0071824)","2/60",0.0363103684614095,0.187675885092304,0,0,6.981703026038,23.1488972243337,"TCF4;HMGN3","GO_Biological_Process_2023","green"
"Positive Regulation Of Cell Junction Assembly (GO:1901890)","2/61",0.0374213004237331,0.187675885092304,0,0,6.86302317537184,22.5485670061795,"CNTNAP2;CLSTN3","GO_Biological_Process_2023","green"
"Protein Glycosylation (GO:0006486)","3/147",0.0375231245710671,0.187675885092304,0,0,4.24312714776632,13.9293288087839,"MGAT4C;ST8SIA1;GALNTL6","GO_Biological_Process_2023","green"
"Cell Junction Organization (GO:0034330)","2/62",0.0385451967593686,0.187675885092304,0,0,6.74829931972789,21.9719482594704,"SLC6A1;PPFIA4","GO_Biological_Process_2023","green"
"Regulation Of Gap Junction Assembly (GO:1903596)","1/8",0.0393135041520565,0.187675885092304,0,0,28.7056277056277,92.8967850071638,"CNTNAP2","GO_Biological_Process_2023","green"
"Glutamine Transport (GO:0006868)","1/8",0.0393135041520565,0.187675885092304,0,0,28.7056277056277,92.8967850071638,"SLC38A1","GO_Biological_Process_2023","green"
"Intestinal Epithelial Cell Differentiation (GO:0060575)","1/8",0.0393135041520565,0.187675885092304,0,0,28.7056277056277,92.8967850071638,"NPY","GO_Biological_Process_2023","green"
"Positive Regulation Of Synapse Maturation (GO:0090129)","1/8",0.0393135041520565,0.187675885092304,0,0,28.7056277056277,92.8967850071638,"RELN","GO_Biological_Process_2023","green"
"Neuronal Action Potential (GO:0019228)","1/8",0.0393135041520565,0.187675885092304,0,0,28.7056277056277,92.8967850071638,"KCNMB2","GO_Biological_Process_2023","green"
"Neuronal Ion Channel Clustering (GO:0045161)","1/8",0.0393135041520565,0.187675885092304,0,0,28.7056277056277,92.8967850071638,"CNTNAP2","GO_Biological_Process_2023","green"
"Lactation (GO:0007595)","1/8",0.0393135041520565,0.187675885092304,0,0,28.7056277056277,92.8967850071638,"ERBB4","GO_Biological_Process_2023","green"
"Mitochondrial Fragmentation Involved In Apoptotic Process (GO:0043653)","1/8",0.0393135041520565,0.187675885092304,0,0,28.7056277056277,92.8967850071638,"ERBB4","GO_Biological_Process_2023","green"
"Pyrimidine-Containing Compound Catabolic Process (GO:0072529)","1/8",0.0393135041520565,0.187675885092304,0,0,28.7056277056277,92.8967850071638,"DPYSL5","GO_Biological_Process_2023","green"
"Detection Of Mechanical Stimulus Involved In Sensory Perception Of Sound (GO:0050910)","1/8",0.0393135041520565,0.187675885092304,0,0,28.7056277056277,92.8967850071638,"KIT","GO_Biological_Process_2023","green"
"Positive Regulation Of Dendritic Cell Cytokine Production (GO:0002732)","1/8",0.0393135041520565,0.187675885092304,0,0,28.7056277056277,92.8967850071638,"KIT","GO_Biological_Process_2023","green"
"Positive Regulation Of Dendritic Spine Morphogenesis (GO:0061003)","1/8",0.0393135041520565,0.187675885092304,0,0,28.7056277056277,92.8967850071638,"RELN","GO_Biological_Process_2023","green"
"Neuron Development (GO:0048666)","3/150",0.0394642695250037,0.187675885092304,0,0,4.15590153587208,13.4333681655865,"CNTNAP2;NPY;PTPRM","GO_Biological_Process_2023","green"
"Inorganic Anion Transmembrane Transport (GO:0098661)","2/63",0.0396819029137974,0.187675885092304,0,0,6.6373369019739,21.4177572290841,"SLC6A1;GABRG3","GO_Biological_Process_2023","green"
"Regulation Of Secretion By Cell (GO:1903530)","2/64",0.0408312655246501,0.190986036220588,0,0,6.52995391705069,20.8847984924896,"RAB3B;CPLX1","GO_Biological_Process_2023","green"
"Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042509)","2/65",0.041993132410768,0.190986036220588,0,0,6.42597991577583,20.3719576107223,"ERBB4;KIT","GO_Biological_Process_2023","green"
"Cellular Response To Growth Factor Stimulus (GO:0071363)","3/155",0.0428110923844909,0.190986036220588,0,0,4.01817688551275,12.6611067720295,"DLX1;SOX6;VSTM2A","GO_Biological_Process_2023","green"
"Negative Regulation Of Endopeptidase Activity (GO:0010951)","2/66",0.043167352566795,0.190986036220588,0,0,6.32525510204082,19.8781944931298,"SPOCK3;SERPINI1","GO_Biological_Process_2023","green"
"Cellular Response To BMP Stimulus (GO:0071773)","2/66",0.043167352566795,0.190986036220588,0,0,6.32525510204082,19.8781944931298,"DLX1;VSTM2A","GO_Biological_Process_2023","green"
"Error-Prone Translesion Synthesis (GO:0042276)","1/9",0.0441188457824273,0.190986036220588,0,0,25.1161616161616,78.3842312444799,"REV3L","GO_Biological_Process_2023","green"
"Negative Regulation Of Potassium Ion Transmembrane Transporter Activity (GO:1901017)","1/9",0.0441188457824273,0.190986036220588,0,0,25.1161616161616,78.3842312444799,"KCNAB1","GO_Biological_Process_2023","green"
"Protein O-linked Glycosylation Via Threonine (GO:0018243)","1/9",0.0441188457824273,0.190986036220588,0,0,25.1161616161616,78.3842312444799,"GALNTL6","GO_Biological_Process_2023","green"
"Cell Differentiation In Spinal Cord (GO:0021515)","1/9",0.0441188457824273,0.190986036220588,0,0,25.1161616161616,78.3842312444799,"SOX6","GO_Biological_Process_2023","green"
"Regulation Of Cardiac Muscle Cell Differentiation (GO:2000725)","1/9",0.0441188457824273,0.190986036220588,0,0,25.1161616161616,78.3842312444799,"SOX6","GO_Biological_Process_2023","green"
"Negative Regulation Of Delayed Rectifier Potassium Channel Activity (GO:1902260)","1/9",0.0441188457824273,0.190986036220588,0,0,25.1161616161616,78.3842312444799,"KCNAB1","GO_Biological_Process_2023","green"
"Peptidyl-Tyrosine Phosphorylation (GO:0018108)","2/67",0.0443537761760119,0.190986036220588,0,0,6.2276295133438,19.4025373950964,"RELN;ERBB4","GO_Biological_Process_2023","green"
"Regulation Of Endopeptidase Activity (GO:0052548)","2/69",0.0467626402187707,0.193191175380539,0,0,6.04112092598233,18.5019639390654,"SPOCK3;SERPINI1","GO_Biological_Process_2023","green"
"Positive Regulation Of Protein Transport (GO:0051222)","2/70",0.0479847867745848,0.193191175380539,0,0,5.95198079231693,18.0753994112781,"ACHE;RUFY3","GO_Biological_Process_2023","green"
"Positive Regulation Of Lipid Localization (GO:1905954)","1/10",0.0489003911418305,0.193191175380539,0,0,22.324354657688,67.3742300304506,"VSTM2A","GO_Biological_Process_2023","green"
"Glycine Transport (GO:0015816)","1/10",0.0489003911418305,0.193191175380539,0,0,22.324354657688,67.3742300304506,"SLC32A1","GO_Biological_Process_2023","green"
"Neuron Projection Maintenance (GO:1990535)","1/10",0.0489003911418305,0.193191175380539,0,0,22.324354657688,67.3742300304506,"ATP1A3","GO_Biological_Process_2023","green"
"Lens Fiber Cell Differentiation (GO:0070306)","1/10",0.0489003911418305,0.193191175380539,0,0,22.324354657688,67.3742300304506,"MAF","GO_Biological_Process_2023","green"
"Mast Cell Activation Involved In Immune Response (GO:0002279)","1/10",0.0489003911418305,0.193191175380539,0,0,22.324354657688,67.3742300304506,"KIT","GO_Biological_Process_2023","green"
