,Gene Ontology,Metadata,Sex,Cell Type,Time Point,Tissue,deg_method,Term,-log10.p-value
23,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,positive regulation of amyloid-beta clearance,1.68772377840681
24,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,lens fiber cell development,1.68772377840681
25,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,1.68772377840681
26,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,LBD domain binding,1.68772377840681
27,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,negative regulation of cell adhesion,1.67333349361147
28,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,protein sumoylation,1.63671006105938
29,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,regulation of endothelial cell migration,1.62489093319555
30,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,protein maturation by iron-sulfur cluster transfer,1.62151375128508
31,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,cAMP catabolic process,1.62151375128508
32,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,response to caffeine,1.62151375128508
33,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,tachykinin receptor signaling pathway,1.62151375128508
34,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,negative regulation of glycoprotein biosynthetic process,1.62151375128508
35,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,positive regulation of glutamate receptor signaling pathway,1.62151375128508
36,Cellular Component,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",1.62151375128508
37,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,core promoter sequence-specific DNA binding,1.57941176304424
38,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,"peptidyl-arginine methylation, to asymmetrical-dimethyl arginine",1.56425821040864
39,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,insulin metabolic process,1.56425821040864
40,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,epithelial cell apoptotic process,1.5138417272448
41,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,response to muscle stretch,1.5138417272448
42,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,sarcoplasmic reticulum calcium ion transport,1.5138417272448
43,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,DNA topological change,1.5138417272448
44,Cellular Component,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,junctional sarcoplasmic reticulum membrane,1.5138417272448
45,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,cyclic-nucleotide phosphodiesterase activity,1.46881990248012
46,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,diacylglycerol kinase activity,1.46881990248012
47,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,positive regulation of cellular component biogenesis,1.43938193738169
48,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,negative regulation of cell population proliferation,1.43517668286244
49,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,U6 snRNA binding,1.42816250477135
50,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,"4 iron, 4 sulfur cluster binding",1.42816250477135
51,Cellular Component,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,nuclear exosome (RNase complex),1.39110884962026
52,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,detection of calcium ion,1.35708126471532
53,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,establishment or maintenance of actin cytoskeleton polarity,1.32563071640782
54,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,E18,WB,DEsingle,pancreas development,1.32563071640782
0,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,regulation of cell communication,2.72142542411077
1,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,RNA methyltransferase activity,2.71416921104912
2,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,hormone activity,2.52804588082436
3,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,positive regulation of supramolecular fiber organization,2.51331667637087
4,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,protein localization to nucleus,2.35013466420106
5,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,positive regulation of neuron differentiation,2.32511451407517
6,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,positive regulation of cellular component organization,2.23035397979143
7,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,epithelial tube morphogenesis,2.21268091738497
8,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,ventricular cardiac muscle tissue morphogenesis,2.21268091738497
9,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,protein kinase binding,2.14433240797488
10,Cellular Component,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,contractile actin filament bundle,2.07532584747467
11,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,sodium channel activity,2.07532584747467
12,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,response to hydrogen peroxide,2.01461782295956
13,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,heart contraction,1.99537566623804
14,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,negative regulation of cellular process,1.99100694462745
15,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,regulation of small GTPase mediated signal transduction,1.90087449684573
16,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,cell morphogenesis involved in differentiation,1.8252262300657
17,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,metal ion binding,1.73922445879408
18,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,ubiquitin binding,1.71183614434558
19,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,regulation of viral genome replication,1.69878205943764
20,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,snRNA modification,1.68772377840681
21,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,negative regulation of phospholipid metabolic process,1.68772377840681
22,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,snRNA transcription by RNA polymerase III,1.68772377840681
23,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,positive regulation of amyloid-beta clearance,1.68772377840681
24,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,lens fiber cell development,1.68772377840681
25,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,1.68772377840681
26,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,LBD domain binding,1.68772377840681
27,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,negative regulation of cell adhesion,1.67333349361147
28,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,protein sumoylation,1.63671006105938
29,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,regulation of endothelial cell migration,1.62489093319555
30,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,protein maturation by iron-sulfur cluster transfer,1.62151375128508
31,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,cAMP catabolic process,1.62151375128508
32,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,response to caffeine,1.62151375128508
33,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,tachykinin receptor signaling pathway,1.62151375128508
34,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,negative regulation of glycoprotein biosynthetic process,1.62151375128508
35,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,positive regulation of glutamate receptor signaling pathway,1.62151375128508
36,Cellular Component,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",1.62151375128508
37,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,core promoter sequence-specific DNA binding,1.57941176304424
38,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,"peptidyl-arginine methylation, to asymmetrical-dimethyl arginine",1.56425821040864
39,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,insulin metabolic process,1.56425821040864
40,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,epithelial cell apoptotic process,1.5138417272448
41,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,response to muscle stretch,1.5138417272448
42,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,sarcoplasmic reticulum calcium ion transport,1.5138417272448
43,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,DNA topological change,1.5138417272448
44,Cellular Component,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,junctional sarcoplasmic reticulum membrane,1.5138417272448
45,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,cyclic-nucleotide phosphodiesterase activity,1.46881990248012
46,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,diacylglycerol kinase activity,1.46881990248012
47,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,positive regulation of cellular component biogenesis,1.43938193738169
48,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,negative regulation of cell population proliferation,1.43517668286244
49,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,U6 snRNA binding,1.42816250477135
50,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,"4 iron, 4 sulfur cluster binding",1.42816250477135
51,Cellular Component,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,nuclear exosome (RNase complex),1.39110884962026
52,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,detection of calcium ion,1.35708126471532
53,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,establishment or maintenance of actin cytoskeleton polarity,1.32563071640782
54,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P30,WB,DEsingle,pancreas development,1.32563071640782
0,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,regulation of cell communication,2.72142542411077
1,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,RNA methyltransferase activity,2.71416921104912
2,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,hormone activity,2.52804588082436
3,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,positive regulation of supramolecular fiber organization,2.51331667637087
4,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,protein localization to nucleus,2.35013466420106
5,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,positive regulation of neuron differentiation,2.32511451407517
6,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,positive regulation of cellular component organization,2.23035397979143
7,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,epithelial tube morphogenesis,2.21268091738497
8,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,ventricular cardiac muscle tissue morphogenesis,2.21268091738497
9,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,protein kinase binding,2.14433240797488
10,Cellular Component,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,contractile actin filament bundle,2.07532584747467
11,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,sodium channel activity,2.07532584747467
12,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,response to hydrogen peroxide,2.01461782295956
13,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,heart contraction,1.99537566623804
14,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,negative regulation of cellular process,1.99100694462745
15,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,regulation of small GTPase mediated signal transduction,1.90087449684573
16,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,cell morphogenesis involved in differentiation,1.8252262300657
17,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,metal ion binding,1.73922445879408
18,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,ubiquitin binding,1.71183614434558
19,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,regulation of viral genome replication,1.69878205943764
20,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,snRNA modification,1.68772377840681
21,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,negative regulation of phospholipid metabolic process,1.68772377840681
22,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,snRNA transcription by RNA polymerase III,1.68772377840681
23,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,positive regulation of amyloid-beta clearance,1.68772377840681
24,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,lens fiber cell development,1.68772377840681
25,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,1.68772377840681
26,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,LBD domain binding,1.68772377840681
27,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,negative regulation of cell adhesion,1.67333349361147
28,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,protein sumoylation,1.63671006105938
29,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,regulation of endothelial cell migration,1.62489093319555
30,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,protein maturation by iron-sulfur cluster transfer,1.62151375128508
31,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,cAMP catabolic process,1.62151375128508
32,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,response to caffeine,1.62151375128508
33,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,tachykinin receptor signaling pathway,1.62151375128508
34,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,negative regulation of glycoprotein biosynthetic process,1.62151375128508
35,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,positive regulation of glutamate receptor signaling pathway,1.62151375128508
36,Cellular Component,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",1.62151375128508
37,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,core promoter sequence-specific DNA binding,1.57941176304424
38,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,"peptidyl-arginine methylation, to asymmetrical-dimethyl arginine",1.56425821040864
39,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,insulin metabolic process,1.56425821040864
40,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,epithelial cell apoptotic process,1.5138417272448
41,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,response to muscle stretch,1.5138417272448
42,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,sarcoplasmic reticulum calcium ion transport,1.5138417272448
43,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,DNA topological change,1.5138417272448
44,Cellular Component,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,junctional sarcoplasmic reticulum membrane,1.5138417272448
45,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,cyclic-nucleotide phosphodiesterase activity,1.46881990248012
46,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,diacylglycerol kinase activity,1.46881990248012
47,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,positive regulation of cellular component biogenesis,1.43938193738169
48,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,negative regulation of cell population proliferation,1.43517668286244
49,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,U6 snRNA binding,1.42816250477135
50,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,"4 iron, 4 sulfur cluster binding",1.42816250477135
51,Cellular Component,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,nuclear exosome (RNase complex),1.39110884962026
52,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,detection of calcium ion,1.35708126471532
53,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,establishment or maintenance of actin cytoskeleton polarity,1.32563071640782
54,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P60,WB,DEsingle,pancreas development,1.32563071640782
0,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,regulation of cell communication,2.72142542411077
1,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,RNA methyltransferase activity,2.71416921104912
2,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,hormone activity,2.52804588082436
3,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,positive regulation of supramolecular fiber organization,2.51331667637087
4,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,protein localization to nucleus,2.35013466420106
5,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,positive regulation of neuron differentiation,2.32511451407517
6,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,positive regulation of cellular component organization,2.23035397979143
7,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,epithelial tube morphogenesis,2.21268091738497
8,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,ventricular cardiac muscle tissue morphogenesis,2.21268091738497
9,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,protein kinase binding,2.14433240797488
10,Cellular Component,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,contractile actin filament bundle,2.07532584747467
11,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,sodium channel activity,2.07532584747467
12,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,response to hydrogen peroxide,2.01461782295956
13,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,heart contraction,1.99537566623804
14,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,negative regulation of cellular process,1.99100694462745
15,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,regulation of small GTPase mediated signal transduction,1.90087449684573
16,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,cell morphogenesis involved in differentiation,1.8252262300657
17,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,metal ion binding,1.73922445879408
18,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,ubiquitin binding,1.71183614434558
19,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,regulation of viral genome replication,1.69878205943764
20,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,snRNA modification,1.68772377840681
21,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,negative regulation of phospholipid metabolic process,1.68772377840681
22,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,snRNA transcription by RNA polymerase III,1.68772377840681
23,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,positive regulation of amyloid-beta clearance,1.68772377840681
24,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,lens fiber cell development,1.68772377840681
25,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,1.68772377840681
26,Molecular Function,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,LBD domain binding,1.68772377840681
27,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,negative regulation of cell adhesion,1.67333349361147
28,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,protein sumoylation,1.63671006105938
29,Biological Process,M_MUT_and_WT_F_E18_WB,F,L2_3_IT,P150,WB,DEsingle,regulation of endothelial cell migration,1.62489093319555
